,Item,Quantity,Reference,Manufacturer,Part number,Remarks
1,1,1,CN1,HIROSUGI- KEIKI,PSR-420256-08,Connector Header
2,2,1,CN2,HIROSUGI- KEIKI,PSR-420256-20,Connector Header
3,3,1,CN3,OMRON,XG4C-1031,Connector Socket
4,4,1,-,-,RTK0EG0023B01002BJ,PCB
5,5,1,CN101,3M,D2510-6V0C-AR-WD,Connector Header
6,6,1,-,-,RTK0EG0023B01002BJ,PCB
7,7,8,-,HIROSUGI- KEIKI,PC-0408,Screw(M4)
8,8,4,-,HIROSUGI- KEIKI,AS-4100,Spacer(M4)
9,9,1,"(CN3,CN101)",3M,3365/10 300SF,Flat cable
10,10,2,"(CN3,CN101)",OMRON,XG4M-1030,Connector
11,11,4,-,TOCHIGIYA,TM-180-303,Rubber foot
