,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,NetX_crypto,Supported,,
3,NetX_wifi,Supported,,
4,USBX_paud,Supported,,
5,USBX_pcdc_acm,Supported,,
6,"USBX_phid
:selected:",Supported,,
7,USBX_pmsc,Supported,,
8,USBX_pprn,Supported,,
9,quickstart,Supported,,
10,acmphs,Supported,,
11,adc,Supported,,
12,adc_gpt_periodic_sampling,Supported,,
13,agt,Supported,Supported,Supported
14,audio_playback_pwm,Supported,,
15,cac,Supported,,
16,can,Supported,,
17,cpp,Supported,,
18,crc,Supported,,
19,dac,Supported,,
20,dma_spi,Supported,,
21,dmac,Supported,Supported,Supported
22,doc,Supported,,
23,elc,Supported,,
24,flash_hp,Supported,Supported,Supported
25,freertos,Supported,Supported,Supported
26,gpt,Supported,Supported,Supported
27,gpt_input_capture,Supported,,
28,icu,Supported,Supported,Supported
29,iic_master,Supported,,
30,iic_slave,Supported,Supported,Supported
31,iwdt,Supported,,
32,kint,Supported,,
33,lpm,Supported,,
34,lvd,Supported,,
35,mbed_crypto,Supported,,
36,pdc,Supported,,
37,poeg,Supported,,
38,rtc,Supported,Supported,Supported
