,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,dma_spi,Supported,,
3,dmac,Supported,Supported,Supported
4,doc,Supported,,
5,elc,Supported,,
6,ethernet,Supported,Supported,Supported
7,flash_hp,Supported,Supported,Supported
8,freertos,Supported,Supported,Supported
9,gpt,Supported,Supported,Supported
10,gpt_input_capture,Supported,,
11,icu,Supported,Supported,Supported
12,iic_master,Supported,,
13,iic_slave,Supported,Supported,Supported
14,iwdt,Supported,,
15,jpeg_codec,Supported,,
16,kint,Supported,,
17,lpm,Supported,,
18,lvd,Supported,,
19,mbed_crypto,Supported,,
20,pdc,Supported,,
21,poeg,Supported,,
22,ptp,Supported,,
23,qspi,Supported,,
24,qspi_blockmedia_usb_composite,Supported,,
25,rtc,Supported,Supported,Supported
26,sci_i2c,Supported,,
27,sci_spi,Supported,,
28,sci_uart,Supported,Supported,Supported
29,sdhi,Supported,,
30,spi,Supported,Supported,Supported
31,ssi,Supported,,
32,ssi_slave,Supported,,
33,usb_composite,Supported,,
34,usb_hcdc,Supported,,
35,usb_hhid,Supported,,
36,usb_hmsc,Supported,,
37,usb_hmsc_baremetal,Supported,,
38,usb_hvnd,Supported,,
39,usb_multiport,Supported,,
40,usb_pcdc,Supported,,
41,usb_pcdc_with_freertos,Supported,,
42,usb_phid,Supported,,
43,usb_pmsc,Supported,,
44,usb_pvnd,Supported,,
45,vee_flash,Supported,,
46,wdt,Supported,Supported,Supported
47,wifi,Supported,,
48,wifi_on_chip_udp_freertos,Supported,,
