,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,acmphs,Supported,,
3,adc,Supported,,
4,adc_gpt_periodic_sampling,Supported,,
5,agt,Supported,Supported,Supported
6,cac,Supported,,
7,can,Supported,,
8,cpp,Supported,,
9,crc,Supported,,
10,dma_spi,Supported,,
11,dmac,Supported,Supported,Supported
12,doc,Supported,,
13,drw,Supported,,
14,elc,Supported,,
15,ethernet,Supported,Supported,Supported
16,flash_hp,Supported,Supported,Supported
17,freertos,Supported,Supported,Supported
18,glcdc,Supported,,
19,gpt,Supported,Supported,Supported
20,gpt_input_capture,Supported,,
21,icu,Supported,Supported,Supported
22,iic_master,Supported,,
23,iic_slave,Supported,Supported,Supported
24,iwdt,Supported,,
25,jpeg_codec,Supported,,
26,kint,Supported,,
27,lpm,Supported,,
28,lvd,Supported,,
29,mbed_crypto,Supported,,
30,pdc,Supported,,
31,qspi,Supported,,
32,rtc,Supported,Supported,Supported
33,sci_i2c,Supported,,
34,sci_spi,Supported,,
35,sci_uart,Supported,Supported,Supported
36,sdhi,Supported,,
37,spi,Supported,Supported,Supported
38,ssi,Supported,,
