,No,Group,Product part number,Package code
1,1,RL78/G23,R7F100GBF2DFP,PLQP0032G*
2,2,RL78/G23,R7F100GBF3CFP,PLQP0032G*
3,3,RL78/G23,R7F100GBG2DFP,PLQP0032G*
4,4,RL78/G23,R7F100GBG3CFP,PLQP0032G*
5,5,RL78/G23,R7F100GGF2DFB,PLQP0048K*
6,6,RL78/G23,R7F100GGF3CFB,PLQP0048K*
7,7,RL78/G23,R7F100GGG2DFB,PLQP0048K*
8,8,RL78/G23,R7F100GGG3CFB,PLQP0048K*
9,9,RL78/G23,R7F100GLF2DFB,PLQP0064K*
10,10,RL78/G23,R7F100GLF3CFB,PLQP0064K*
11,11,RL78/G23,R7F100GLG2DFB,PLQP0064K*
12,12,RL78/G23,R7F100GLG3CFB,PLQP0064K*
13,13,RL78/G23,R7F100GGK2DFB,PLQP0048K*
14,14,RL78/G23,R7F100GGK3CFB,PLQP0048K*
15,15,RL78/G23,R7F100GGL2DFB,PLQP0048K*
16,16,RL78/G23,R7F100GGL3CFB,PLQP0048K*
17,17,RL78/G23,R7F100GGN2DFB,PLQP0048K*
18,18,RL78/G23,R7F100GGN3CFB,PLQP0048K*
19,19,RL78/G23,R7F100GLK2DFB,PLQP0064K*
20,20,RL78/G23,R7F100GLK3CFB,PLQP0064K*
21,21,RL78/G23,R7F100GLL2DFB,PLQP0064K*
22,22,RL78/G23,R7F100GLL3CFB,PLQP0064K*
23,23,RL78/G23,R7F100GLN2DFB,PLQP0064K*
24,24,RL78/G23,R7F100GLN3CFB,PLQP0064K*
25,25,RL78/G23,R7F100GPG2DFB,PLQP0100K*
26,26,RL78/G23,R7F100GPG3CFB,PLQP0100K*
27,27,RL78/G23,R7F100GPH2DFB,PLQP0100K*
28,28,RL78/G23,R7F100GPH3CFB,PLQP0100K*
29,29,RL78/G23,R7F100GPJ2DFB,PLQP0100K*
30,30,RL78/G23,R7F100GPJ3CFB,PLQP0100K*
31,31,RL78/G23,R7F100GPK2DFB,PLQP0100K*
32,32,RL78/G23,R7F100GPK3CFB,PLQP0100K*
33,33,RL78/G23,R7F100GPL2DFB,PLQP0100K*
34,34,RL78/G23,R7F100GPL3CFB,PLQP0100K*
35,35,RL78/G23,R7F100GPN2DFB,PLQP0100K*
36,36,RL78/G23,R7F100GPN3CFB,PLQP0100K*
37,37,RL78/G23,R7F100GGH2DFB,PLQP0048K*
38,38,RL78/G23,R7F100GGH3CFB,PLQP0048K*
39,39,RL78/G23,R7F100GGJ2DFB,PLQP0048K*
40,40,RL78/G23,R7F100GGJ3CFB,PLQP0048K*
41,41,RL78/G23,R7F100GLH2DFB,PLQP0064K*
42,42,RL78/G23,R7F100GLH3CFB,PLQP0064K*
43,43,RL78/G23,R7F100GLJ2DFB,PLQP0064K*
44,44,RL78/G23,R7F100GLJ3CFB,PLQP0064K*
45,45,RL78/G23,R7F100GMG2DFB,PLQP0080K*
46,46,RL78/G23,R7F100GMG3CFB,PLQP0080K*
47,47,RL78/G23,R7F100GMH2DFB,PLQP0080K*
48,48,RL78/G23,R7F100GMH3CFB,PLQP0080K*
49,49,RL78/G23,R7F100GMJ2DFB,PLQP0080K*
50,50,RL78/G23,R7F100GMJ3CFB,PLQP0080K*
