,No,Group,Product part number,Package code
1,1,RA2L1,R7FA2L1A92DFL,PLQP0048K*
2,2,RA2L1,R7FA2L1A93CFL,PLQP0048K*
3,3,RA2L1,R7FA2L1AB2DFL,PLQP0048K*
4,4,RA2L1,R7FA2L1AB3CFL,PLQP0048K*
5,5,RA2L1,R7FA2L1A92DFM,PLQP0064K*
6,6,RA2L1,R7FA2L1A93CFM,PLQP0064K*
7,7,RA2L1,R7FA2L1AB2DFM,PLQP0064K*
8,8,RA2L1,R7FA2L1AB3CFM,PLQP0064K*
9,9,RA2L1,R7FA2L1A92DFN,PLQP0080K*
10,10,RA2L1,R7FA2L1A93CFN,PLQP0080K*
11,11,RA2L1,R7FA2L1AB2DFN,PLQP0080K*
12,12,RA2L1,R7FA2L1AB3CFN,PLQP0080K*
13,13,RA2L1,R7FA2L1A92DFP,PLQP0100K*
14,14,RA2L1,R7FA2L1A93CFP,PLQP0100K*
15,15,RA2L1,R7FA2L1AB2DFP,PLQP0100K*
16,16,RA2L1,R7FA2L1AB3CFP,PLQP0100K*
17,17,RA2L1,R7FA2L1A92DNE,PWQN0048K*
18,18,RA2L1,R7FA2L1A93CNE,PWQN0048K*
19,19,RA2L1,R7FA2L1AB2DNE,PWQN0048K*
20,20,RA2L1,R7FA2L1AB3CNE,PWQN0048K*
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
