,No,Group,Product part number,Package code
1,1,RA6T2,R7FA6T2AB3CFL,PLQP0048K*
2,2,RA6T2,R7FA6T2AD3CFL,PLQP0048K*
3,3,RA6T2,R7FA6T2BB3CFL,PLQP0048K*
4,4,RA6T2,R7FA6T2BD3CFL,PLQP0048K*
5,5,RA6T2,R7FA6T2AB3CFM,PLQP0064K*
6,6,RA6T2,R7FA6T2AD3CFM,PLQP0064K*
7,7,RA6T2,R7FA6T2BB3CFM,PLQP0064K*
8,8,RA6T2,R7FA6T2BD3CFM,PLQP0064K*
9,9,RA6T2,R7FA6T2AB3CFP,PLQP0100K*
10,10,RA6T2,R7FA6T2AD3CFP,PLQP0100K*
11,11,RA6T2,R7FA6T2BB3CFP,PLQP0100K*
12,12,RA6T2,R7FA6T2BD3CFP,PLQP0100K*
13,13,RA6T2,R7FA6T2AB3CNB,PWQN0064L*
14,14,RA6T2,R7FA6T2AD3CNB,PWQN0064L*
15,15,RA6T2,R7FA6T2BB3CNB,PWQN0064L*
16,16,RA6T2,R7FA6T2BD3CNB,PWQN0064L*
17,17,RA6T2,R7FA6T2AB3CNE,PWQN0048K*
18,18,RA6T2,R7FA6T2AD3CNE,PWQN0048K*
19,19,RA6T2,R7FA6T2BB3CNE,PWQN0048K*
20,20,RA6T2,R7FA6T2BD3CNE,PWQN0048K*
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
