,Registration of Broadcasting and Communication Equipments,
1,SangHo TtoNeun SeongMyeong Trade Name or Registrant,Renesas Design Netherlands B.V.
2,GiJaJaeMyeongChing(JePumMyeongChing) Equipment Name,DA14695MOD
3,GiGiBuHo/ChuGa GiGiBuHo Equipment code /Additional Equipment code,LARN8
4,GiBonMoDelMyeong Basic Model,DA14695MOD-00F3200
5,PaSaengMoDelMyeong Series Model,C
6,DeungLogBeonHo Registration No.,R-R-8DL-DA14695MOD
7,JeJoJa/JeJoGugGa Manufacturer/Country of,Renesas Design Netherlands B.V./} =
8,DeungLogYeonWolIl Date of Registration,2023-05-12
9,GiTa Others,
10,Wi GiJaJaeNeun [JeonPaBeob] Je58JoUi2 Je3HangE TtaLa DeungLogDoeEossEumEul JeungMyeongHabNiDa.,
