,United Kingdom (Headquarters),North America,Hong Kong,China (Shenzhen)
1,Dialog Semiconductor (UK) LTD,Dialog Semiconductor Inc.,Dialog Semiconductor Hong Kong,Dialog Semiconductor China
2,Phone: +44 1793 757700,Phone: +1 408 845 8500,Phone: +852 2607 4271,Phone: +86 755 2981 3669
3,Germany,Japan,Korea,China (Shanghai)
4,Dialog Semiconductor GmbH,Dialog Semiconductor K. K.,Dialog Semiconductor Korea,Dialog Semiconductor China
5,Phone: +49 7021 805-0,Phone: +81 3 5769 5100,Phone: +82 2 3469 8200,Phone: +86 21 5424 9058
6,The Netherlands,Taiwan,,
7,Dialog Semiconductor B.V.,Dialog Semiconductor Taiwan,,
8,Phone: +31 73 640 8822,Phone: +886 281 786 222,,
9,Email:,Web site:,,
10,Release Notes,Revision 1,,10-Jun-2022
