,Item,Symbol,Min,Typ,Max,Unit
1,Power supply voltage,VCC,2.7,-,3.6,V
2,,VSS,-,0,-,V
3,VBATT power supply voltage,VBATT,2.0,-,3.6,V
4,Reference power voltage,VREFH0,2.7,-,AVCC0,V
5,,VREFL0,-,0,-,V
6,Analog power supply voltage,AVCC0,-,VCC,-,V
7,,AVSS0,-,0,-,V
8,,AVCC1,-,VCC,-,V
9,,AVSS1,-,0,-,V
10,USB power supply voltage,VCC_USB,-,VCC,-,V
11,,VSS_USB,-,0,-,V
12,USBA power supply voltage,VCC_USBA,3.0,-,3.6,V
13,,VSS1_USBA,-,0,-,V
14,,VSS2_USBA,-,0,-,V
15,USBA analog power supply voltage,AVCC_USBA,3.0,-,3.6,V
16,,AVSS_USBA,-,0,-,V
17,,PVSS_USBA,-,0,-,V
18,Operating temperature,Topr,-40,-,85,C
19,Operating temperature (high-temperature products),Topr,-40,-,105 (Under planning),C
