,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_sdmmc,Supported,,
3,NetX_wifi,Supported,,
4,quickstart,Supported,,
5,adc,Supported,,
6,adc_gpt_periodic_sampling,Supported,,
7,agt,Supported,Supported,Supported
8,audio_playback_pwm,Supported,,
9,cac,Supported,,
10,can,Supported,,
11,cpp,Supported,,
12,crc,Supported,,
13,dac,Supported,,
14,dma_spi,Supported,,
15,dmac,Supported,Supported,Supported
16,doc,Supported,,
17,elc,Supported,,
18,flash_hp,Supported,Supported,Supported
19,freertos,Supported,Supported,Supported
20,gpt,Supported,Supported,Supported
21,gpt_input_capture,Supported,,
22,icu,Supported,Supported,Supported
23,iic_master,Supported,,
24,iic_slave,Supported,Supported,Supported
25,iwdt,Supported,,
26,lpm,Supported,,
27,rtc,Supported,Supported,Supported
28,sci_i2c,Supported,,
29,sci_spi,Supported,,
30,sci_uart,Supported,Supported,Supported
31,sdhi,Supported,,
32,spi,Supported,Supported,Supported
33,ssi,Supported,,
34,vee_flash,Supported,,
35,wdt,Supported,Supported,Supported
36,wifi,Supported,,
37,wifi_on_chip_udp_freertos,Supported,,
