,Target MCU,Break Function,Trace Function,,,,
1,Family,Hardware Break,Internal Trace,Series/ Core,Group,Software Break,Special Break
2,R8C,Address break : 8 points + Data condition break : 2 points * Sequential breaks are specifiable.,4 branches (sum of branch source PC and destination PC) or Up to 8 cycles of specified data access,R8C/Lx,,255 points,"Forcible break by selecting ""Stop""on emulator debugger"
3,,Address break : 4 points + Data condition break : 1 point,3 branches (sum of branch source PC and destination PC) or 6 branches (branch source PC) or Up to 8 cycles of specified data access,R8C/Mx,,,
4,,Address break : 8 points + Data condition break : 2 points * Sequential breaks are specifiable.,4 branches (sum of branch source PC and destination PC) or Up to 8 cycles of specified data access,R8C/3x,Other than R8C/3xD,,
5,,Address break : 4 points or Address break : 2 points + Data condition break : 1 point,The latest 4 branches (branch source PC),,R8C/3xD,,
6,,,,R8C/2x,,,
7,,,,R8C/1x,Other than R8C/10-13,,
8,,Address break : 2 points,-,,R8C/10-13,,
9,M16C,Address break : 8 points,-,R32C/100,,,
10,,,,M32C/80,,,
11,,,,M16C/60,M16C/62P M16C/6Nx M16C/6S,,
12,,Address break : 8 points + Data condition break : 2 points * Sequential breaks are specifiable.,32 branches of order execution history (sum of branch source PC and destination PC) or Up to 64 cycles of specified data access,,M16C/63 M16C/64A M16C/64C M16C/65 M16C/65C M16C/6C,,
13,,,16 branches of order execution history (sum of branch source PC and destination PC) or Up to 32 cycles of specified data access,,M16C/6S1 M16C/6B,,
14,,,32 branches of order execution history (sum of branch source PC and destination PC) or Up to 64 cycles of specified data access,M16C/50,,,
15,,Address break : 6 points,-,M16C/Tiny,,,
16,H8S,Address break : 8 points + Address/Data condition break : 2 points,The latest 8 branch sources or The latest 4 branch sources + 4 branch destinations,H8S/Tiny,,,
17,H8,Address/Data condition break : 1 point,The latest 4 branch sources,H8/300H Tiny,,,
18,,Address break : 1 point + Address/Data condition break : 1 point,,H8/300H Super Low Power,,,
19,,Address/Data condition break : 1 point,,H8/300L Super Low Power,,,
20,740,Address break : 2 points,-,,,,
