,Target MCU,Connection system,Break Function,,Trace Function,"Memory reference
&change while executing program","Performanc
e measureme nt",Hot plug- in,,,
1,Family,,Hardware Break,Special Break,Internal trace,,,,Series/Core,Group,Software Break
2,RH850,LPD4-pin or LPD1-pin,12 points being shared by an execution address and data access,"Forcible break by selecting ""Stop on emulator debugger",Between 2K and 4K of branch information can be acquired when this is the only target or Between 1K and 2K of cycle information on data-access operation can be acquired when this is the only target Trace function isn't supported in some MCU's.,Supporte d,supported,Supporte d *5 Not supported,RH850/F1x,RH850/F1H RH850/F1M RH850/F1L RH850/F1K RH850/F1KM RH850/F1KH,2000 points for ROM/RAM area
3,,LPD4-pin,,,,,,,RH850/E1x,RH850/E1M-S2,
4,,,,,,,,,RH850/C1x,RH850/C1H RH850/C1M,
5,,LPD4-pin or LPD1-pin,,,,,,,RH850/D1x,RH850/D1L RH850/D1M,
6,,,,,,,,,RH850/P1x,RH850/P1M,
7,,LPD4-pin,,,,,,,,RH850/P1M-E,
8,,,,,,,,,,RH850/P1H-C RH850/P1M-C RH850/P1L-C,
9,RL78,Single-wire Serial,1 point being shared by an execution address and data access,,Not supported,,Not supported; the time b/w Go and Stop is measurable .,,RL78/D1x,RL78/D1A,2000 points
10,,,,,,,,,RL78/F1x,RL78/F12,
11,,,2 points being shared by an execution address and data access,,Obtains the information of up to 128 branches (only branch-source info); the obtainable info is limited to 64 branches on some MCUs.,,,Supporte d *5,,RL78/F13 RL78/F14 RL78/F15 RL78/F1E,
12,,,2 points for an execution address,,Not supported,,,Not supported,RL78/G1x,RL78/G10 RL78/G1M RL78/G1N,Not supported
13,,,2 points being shared by an execution address and data access,,Obtains the information of up to 256 branches (only branch-source info),,,,,RL78/G14 (ROM: 96KByte and more) RL78/G1F RL78/G1H,2000 points
14,,,1 point being shared by an execution address and data access,,Not supported,,,,,RL78/G11 RL78/G12 RL78/G13 RL78/G14 (ROM: 64KByte and less) RL78/G1A RL78/G1C RL78/G1D RL78/G1E RL78/G1G RL78/G13A,
15,,,,,,,,,RL78/I1x,RL78/I1A,
16,,,2 points being shared by an execution address and data access,,Obtains the information of up to 256 branches (only branch-source info),,,,,RL78/I1B RL78/I1C RL78/I1D RL78/I1E,
17,,,1 point being shared by an execution address and data access,,Not supported,,,,RL78/L1x,RL78/L12 RL78/L13,
18,,,2 points being shared by an execution address and data access,,Obtains the information of up to 256 branches (only branch-source info),,,,,RL78/L1A RL78/L1C,
19,,,,,,,,,RL78/H1x,RL78/H1D,
20,,,1 point being shared by an execution address and data access,,Not supported,,,,RL78/FGIC,,
21,RX,JTAG or Single-wire Serial,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is selectable as a bus master),,Supported *7 Not,Supporte d *5 *6,RX700,RX72x RX71x,256 points at the max
22,,JTAG or Single-wire Serial,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is selectable as a bus master),,,,RX600,RX64x RX65x RX66x RX67x RX26T,
23,,JTAG or double-wire Serial *4 (clock and data),8 points for an execution address + 4 points for a data access * Sequential breaks are specifiable.,,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation,,,,,Others than RX64x RX65x RX66x RX67x RX26T,
24,,Single-wire Serial,4 points for an execution address + 2 points for a data access * Sequential breaks are specifiable.,,Obtains the information of up to 64 branches or the information of up to 64 cycles on data-access operation *3,,,"Not
supported",RX200 RX140 Other than RX26T,,
25,,,,,Obtains the information of up to 32 branches or the information of up to 32 cycles on data-access operation,,"and Stop is
supported; the time b/w Go measurable .",,RX100 Other than RX140,,
26,V850 *1 *2,"JTAG, double-wire or 4-wire Serial (data x 2, clock and handshake)",2 points being shared by an execution address and data access * Sequential breaks are specifiable.,,Not supported,,Not supported; the time b/w Go and Stop is measurable .,,V850E1 V850ES V850E2,,4 points for ROM area 2000 points for RAM area
27,,Nexus or Single-wire Serial,[When using JTAG I/F] [When using Serial I/F] Before-execution: Before-execution: 4 points 4 points After-execution: After-execution: 8 points Not supported Access: 6 points Access: 4 points * Sequential breaks are specifiable.,,,,,Supporte d *5,V850E2M V850E2S,,8 points for ROM area 2000 points for RAM area
