,Target MCU,Connection system,Break Function,Trace Function,"Memory reference
&change while executing program","Performanc
e measureme nt",Real-time RAM monitor,C0 coverage,Hot plug- in,,,,,
1,Family,,Hardware Break,Internal trace,,,,,,Series/Core,Group,Software Break,Special Break,External Trace
2,RH850,LPD4-pin or LPD1-pin,12 points being shared by an execution address and data access,Between 2K and 4K of branch info can be acquired when this is the only target or,Supporte d,Supported,Not supported,Not supported,Supporte d,RH850/F1x,RH850/F1H RH850/F1M RH850/F1L RH850/F1K RH850/F1KM RH850/F1KH,2000 points for ROM/RAM area,"Forcible break by selecting ""Stop"" on emulator debugger",Not supported
3,,LPD4-pin,,,,,,,,RH850/E1x,RH850/E1M-S2,,,
4,,,,Between 1K and 2K of cycle info on data-access operation can be acquired when this is the only target Trace function isn't supported in some MCU's.,,,,,,RH850/C1x,RH850/C1H RH850/C1M,,,
5,,LPD4-pin or LPD1-pin,,,,,,,,RH850/D1x,RH850/D1L RH850/D1M,,,
6,,,,,,,,,,RH850/P1x,RH850/P1M,,,
7,,LPD4-pin,,,,,,,,,RH850/P1M-E,,,
8,,,,,,,,,,,RH850/P1H-C RH850/P1M-C RH850/P1L-C,,,
9,RL78,Single-wire Serial,1 point being shared by an execution address and data access,Not supported,,Not supported; the time b/w Go and Stop is measurable .,,,Not supported,RL78/D1x,RL78/D1A,2000 points,,Not supported
10,,,,,,,,,,RL78/F1x,RL78/F12,,,
11,,,2 points being shared by an execution address and data access,Obtains the information of up to 128 branches (only branch-source info); the obtainable info is limited to 64 branches on some MCUs.,,,,,Supporte d,,RL78/F13 RL78/F14 RL78/F15 RL78/F1E,,,
12,,,2 points for an execution address,Not supported,,,,,Not supported,RL78/G1x,RL78/G10 RL78/G1M RL78/G1N,Not supported,,
13,,,2 points being shared by an execution address and data access,Obtains the information of up to 256 branches (only branch-source info),,,,,,,RL78/G14 (ROM: 96KByte and more) RL78/G1F RL78/G1H,2000 points,,
14,,,1 point being shared by an execution address and data access,Not supported,,,,,,,RL78/G11 RL78/G12 RL78/G13 RL78/G14 (ROM: 64KByte and less) RL78/G1A RL78/G1C RL78/G1D RL78/G1E RL78/G1G RL78/G13A RI 78/G1P,,,
15,,,2 points being shared by an execution address and data access,Obtains the information of up to 256 branches (only branch-source info),,,,,,RL78/I1x,"RL78/I1A
RL78/I1B RL78/I1C RL78/I1D RL78/I1E",,,
16,,,1 point being shared by an execution address and data access,Not supported,,,,,,RL78/L1x,RL78/L12 RL78/L13,,,
17,,,2 points being shared by an execution address and data access,Obtains the information of up to 256 branches (only branch-source info),,,,,,,RL78/L1A RL78/L1C,,,
18,,,,,,,,,,RL78/H1x,RL78/H1D,,,
19,,,1 point being shared by an execution address and data access,Not supported,,,,,,RL78/FGIC,,,,
20,RX,JTAG only or Single-wire Serial,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is selectable as a bus master),,Supported *6,Not supported,Not supported,Supporte d *5,RX700,RX71x,256 points at the max,,-
21,,JTAG + External Trace,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is selectable as a bus master),,,Supported (Data- and Last-access attributes [Read/Write/ Non- accessed]),Supporte d,,,,,,"selectable as a bus master) Obtains the information of approx. 2M branches or the information of approx. 2M cycles on data access operation (DMAC or DTC bus is - Obtains the information of approx. 2M branches or the information of approx. 2M cycles on data access operation (DMAC or DTC bus is
selectable as a bus master) -"
22,,JTAG only or Single-wire Serial,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,"selectable as a bus master)
Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is selectable as a bus master) Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation (DMAC or DTC bus is",,,Not supported,Not supported,,RX600,RX64x RX65x RX66x RX67x RX26T,,,
23,,JTAG + External Trace,8 points for an execution address + 4 points for a data access (DMAC or DTC bus is selectable as a bus master) * Sequential breaks are specifiable.,,,,Supported (Data- and Last-access attributes [Read/Write/ Non- accessed]),Supporte d,,,RX64x RX65x RX66x RX67x,,,
24,,JTAG only or double-wire Serial *4 (clock and data),8 points for an execution address + 4 points for a data access * Sequential breaks are specifiable.,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation,,,Not supported,Not supported,,,Others than RX64x RX65x RX66x RX67x RX26T,,,
25,,JTAG or double-wire Serial *4 (clock and data),8 points for an execution address + 4 points for a data access * Sequential breaks are specifiable.,Obtains the information of up to 256 branches or the information of up to 256 cycles on data-access operation,,,Supported (Data- and Last-access attributes [Read/Write/ Non- accessed]),,,,,,,Obtains the information of approx. 2M branches or the information of approx. 2M cycles on data access operation
26,,Single-wire Serial,4 points for an execution address + 2 points for a data access * Sequential breaks are specifiable.,Obtains the information of up to 64 branches or the information of up to 64 cycles on data-access,,,,Not supported,supported Not,RX200 RX140 Other than RX26T,,,,Not supported
27,,,,Obtains the information of up to 32 branches or the information of up to 32 cycles on data-access operation,,Not supported; the time b/w Go and Stop is measurable,Not supported,,,RX100 Other than RX140,,,,
