,Name,Address,Access size,R/W,Initial value
1,PID4,8000 OFDOh,32 bits,R,0000 0004h
2,PID5,8000 OFD4h,32 bits,R,0000 0000h
3,PID6,8000 0FD8h,32 bits,R,0000 0000h
4,PID7,8000 OFDCh,32 bits,R,0000 0000h
5,PIDO,8000 OFEOh,32 bits,R,0000 0004h
6,PID1,8000 OFE4h,32 bits,R,0000 0030h
7,PID2,8000 OFE8h,32 bits,R,0000 000Ah
8,PID3,8000 OFECh,32 bits,R,0000 0000h
9,CIDO,8000 OFFOh,32 bits,R,0000 000Dh
10,CID1,8000 OFF4h,32 bits,R,0000 00F0h
11,CID2,8000 OFF8h,32 bits,R,0000 0005h
12,CID3,8000 OFFCh,32 bits,R,0000 00B1h
