,Pin number,"Power,
System, Clock, Debug, CAC",I/O ports,Timers,Communication interfaces,Analogs,HMI,,,,,,,,,,,,
1,LQFP 64-pin,,,AGT,SCI,ADC,CTSU,BGA 64-pin,LQFP/QFN 48-pin,LGA 36-pin,LQFP/QFN 32-pin,WLCSP 25-pin,"GPT_OPS, POEG",GPT,RTC,IIC,SPI,ACMPLP,Interrupt
2,31,,P301,AGTIO0_D,RxD2_A/ MISO2_A/ SCL2_A/ CTS9_RTS 9_D/SS9_D,"-
:unselected:",TS9-CFC,H7,23,-,-,-,GTOULO A,GTIOC7B A,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:",IRQ6_A
3,32,SWCLK,P300,-,-,"-
:unselected:","-
:unselected:",H8,24,F6,16,A4,GTOUUP_ C,GTIOCOA A,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:"
4,33,SWDIO,P108,-,CTS9_RTS 9_B/SS9_B,"-
:unselected:","-
:unselected:",G8,25,E6,17,B3,GTOULO C,GTIOCOB A,"-
:unselected: :unselected:","-
:unselected:","-
:unselected:","-
:unselected:",-
5,34,CLKOUT_B,P109,-,SCK1_E/ TXD9_B/ MOSI9_B/ SDA9_B,"-
:unselected:",TS10-CFC,G6,26,D4,18,B4,GTOVUP A,GTIOC4A A,"-
:unselected: :unselected:","-
:unselected:","-
:unselected:","-
:unselected:",-
6,35,,P110,-,CTS2_RTS 2 B/ SS2_B/ RxD9_B/ MISO9_B/ SCL9_B,"-
:unselected:",TS11-CFC,G7,27,D5,19,A5,GTOVLO A,GTIOC4B A,"-
:unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:",VCOUT,IRQ3_A
7,36,,P111,AGTOA0,SCK2_B/ SCK9_B,"-
:unselected:",TS12-CFC,F7,28,D6,-,-,-,GTIOC6A A,"-
:unselected: :unselected:","-
:unselected:","-
:unselected: :unselected:","-
:unselected:",IRQ4_A
8,37,,P112,AGTOB0,SCK1_D/ TXD2_B/ MOSI2_B/ SDA2_B,"-
:unselected:",TSCAP,F8,29,C6,20,B5,-,GTIOC6B_ A,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:",-
9,38,,P113,-,"-
:unselected: :unselected:","-
:unselected: :unselected:",TS27-CFC,E7,-,-,-,-,"-
:unselected: :unselected:","-
:unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:",-
10,39,VCC,,-,"-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected:",E8,30,-,-,-,-,"-
:unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:",-
11,40,VSS,,-,"-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected:",D8,31,-,-,-,-,"-
:unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:",-
