,Product Category,MPU/MCU,Document No.,TN-RA *- A0089A/E,Rev.,1.00,
1,Title,Corrections of Peripheral Variant for CANFD,Information Category,Technical Notification,,,
2,Applicable Product,RA6T2 group,Reference Document,"Renesas RA6T2 Group
Hardware Rev.1.30",User's,Manual:,Lot No.
3,,,,,,,All
4,This document shows corrections of peripheral variant for CANFD.,,,,,,
5,[Before correction] 28. CAN with Flexible Data-rate (CANFD) This is the CANFD_B version of the CANFD peripheral module. CANFD_B is referred to as CANFD in this chapter.,,,,,,
6,[After correction] 28. CAN with Flexible Data-rate (CANFD) (Removed),,,,,,
7,[Before correction] (Please refer applicable chapters in Table 1.) Base address: CANFD_B = 0x400B_0000,,,,,,
8,[After correction],,,,,,
9,Base address: CANFD = 0x400B_0000,,,,,,
10,Table 1. List of applicable chapters,,,,,,
11,28.2.3,CFDC0NCFG : Channel 0 Nominal Bitrate Configuration Register,,,,,
12,28.2.4,CFDC0CTR : Channel 0 Control Register,,,,,
13,28.2.5,CFDC0STS : Channel 0 Status Register,,,,,
14,28.2.6,CFDC0ERFL : Channel 0 Error Flag Register,,,,,
15,28.2.7,CFDC0DCFG : Channel 0 Data Bitrate Configuration Register,,,,,
16,28.2.8,CFDC0FDCFG : Channel 0 CANFD Configuration Register,,,,,
17,28.2.9,CFDC0FDCTR : Channel 0 CANFD Control Register,,,,,
18,28.2.10,CFDC0FDSTS : Channel 0 CANFD Status Register,,,,,
19,28.2.11 CFDC0FDCRC : Channel 0 CANFD CRC Register,,,,,,
20,28.2.12,CFDGCFG : Global Configuration Register,,,,,
21,28.2.13,CFDGCTR : Global Control Register,,,,,
22,28.2.14,CFDGSTS : Global Status Register,,,,,
23,28.2.15,CFDGERFL : Global Error Flag Register,,,,,
24,28.2.16,CFDGTINTSTS : Global TX Interrupt Status Register,,,,,
25,28.2.17,CFDGTSC : Global Timestamp Counter Register,,,,,
26,28.2.18,CFDGAFLECTR : Global Acceptance Filter List Entry Control Register,,,,,
27,28.2.19,CFDGAFLCFG : Global Acceptance Filter List Configuration Register,,,,,
28,28.2.20,CFDGAFLIDr : Global Acceptance Filter List ID Registers (r = 1 to 16),,,,,
29,28.2.21,CFDGAFLMr : Global Acceptance Filter List Mask Registers (r = 1 to 16),,,,,
30,28.2.22,CFDGAFLP0r : Global Acceptance Filter List Pointer 0 Registers (r = 1 to 16),,,,,
31,28.2.23,CFDGAFLP1r : Global Acceptance Filter List Pointer 1 Registers (r = 1 to 16),,,,,
