,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,quickstart,Supported,,
3,adc,Supported,,
4,adc_gpt_periodic_sampling,Supported,,
5,agt,Supported,Supported,Supported
6,cac,Supported,,
7,cpp,Supported,,
8,crc,Supported,,
9,doc,Supported,,
10,elc,Supported,,
11,flash_lp,Supported,Supported,Supported
12,freertos,Supported,Supported,Supported
13,gpt,Supported,Supported,Supported
14,gpt_input_capture,Supported,,
15,i3c_master,Supported,,
16,i3c_slave,Supported,,
17,icu,Supported,Supported,Supported
18,iwdt,Supported,,
19,kint,Supported,,
20,lpm,Supported,,
21,lvd,Supported,,
22,sci_i2c_master,Supported,,
23,sci_spi,Supported,,
24,sci_uart,Supported,Supported,Supported
25,vee_flash,Supported,,
26,wdt,Supported,Supported,Supported
27,wifi,Supported,,
