,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,NetX_wifi,Supported,,
3,_quickstart,Supported,,
4,acmplp,Supported,,
5,adc,Supported,,
6,adc_gpt_periodic_sampling,Supported,,
7,agt,Supported,Supported,Supported
8,audio_playback_pwm,Supported,,
9,baremetal,Supported,,
10,cac,Supported,,
11,can,Supported,,
12,cpp,Supported,,
13,crc,Supported,,
14,dac,Supported,,
15,dac_agt_periodic_signal_generator,Supported,,
16,dcdc,Supported,,
17,doc,Supported,,
18,elc,Supported,,
19,flash_lp,Supported,Supported,Supported
20,freertos,Supported,Supported,Supported
21,gpt,Supported,Supported,Supported
22,gpt_input_capture,Supported,,
23,icu,Supported,Supported,Supported
24,iic_master,Supported,,
25,iic_slave,Supported,Supported,Supported
26,iwdt,Supported,,
27,kint,Supported,,
28,lpm,Supported,,
29,mbed_crypto,Supported,,
30,rtc,Supported,Supported,Supported
31,sci_i2c,Supported,,
32,sci_spi,Supported,,
33,sci_uart,Supported,Supported,Supported
34,spi,Supported,Supported,Supported
35,vee_flash,Supported,,
36,wdt,Supported,Supported,Supported
37,wifi,Supported,,
