,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,-,Dec.01.20,First release document.
3,1.01,-,Feb.02.21,Added support for FSP v2.3.0.
4,1.02,-,Mar.10.21,Added support for QuickStart and DCDC.
5,1.03,-,Apr.06.21,Added support for FSP v2.4.0.
6,1.04,-,Apr.23.21,Added BAREMETAL.
7,1.05,-,May.03.21,Support for FSP v3.0.0.
8,1.06,-,May.13.21,Support for FSP v3.0.0 (2).
9,1.07,-,Jun.17.21,Support for FSP v3.0.0 (4).
10,1.08,-,Jul.12.21,Support for FSP v3.1.0 (1).
11,1.09,-,Jul.26.21,Support for FSP v3.1.0 (2).
12,1.10,-,Aug.30.21,Support for FSP v3.1.0 (3).
13,1.11,-,Sep.10.21,Support for FSP v3.2.0.
14,1.12,-,Sep.29.21,Support for FSP v3.2.0 (2).
15,1.13,-,Oct.20.21,Support for FSP v3.4.0 (2).
16,1.14,-,Dec.20.21,"Support for FSP v3.5.0 (2).
:selected:"
17,1.15,-,Mar.21.22,Support for FSP v3.6.0.
18,1.16,-,Apr.11.22,Support for FSP v3.6.0 (2).
19,1.17,-,Jul.18.22,Support for FSP v3.8.0 (1).
20,1.18,-,Aug.15.22,Support for FSP v3.8.0 (2).
21,1.19,-,Sep.20.22,Support for FSP v4.0.0.
22,1.20,-,Oct.17.22,Support for FSP v4.0.0 (2).
23,1.21,-,Nov.14.22,Support for FSP v4.1.0 (1).
24,1.22,-,Dec.01.22,Support for FSP v4.1.0 (2).
25,1.23,-,Jan.10.23,Support for FSP v4.2.0 (1).
26,1.24,-,Mar.24.23,"Support for FSP v4.3.0 (2).
:selected:"
27,1.25,-,Apr.28.23,Support for FSP v4.4.0 (1).
28,1.26,-,Jun.01.23,Support for FSP v4.4.0 (2).
29,1.27,-,Jul.17.23,Support for FSP v4.5.0 (1).
30,1.28,-,Sep.18.23,"Added support for FSP v4.5.0 (2).
:selected:"
31,1.29,-,Sep.26.23,Added support for FSP v4.6.0 (1).
32,1.30,-,Oct.23.23,Added support for FSP v4.6.0 (2).
33,1.31,-,Nov.06.23,Added support for FSP v5.0.0 (2).
34,1.32,-,Dec.05.23,Added support for FSP v5.0.0 (3).
35,1.33,-,Dec.19.23,Added support for FSP v5.1.0 (2).
