,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,NetX_wifi,Supported,,
3,_quickstart,Supported,,
4,acmplp,Supported,,
5,adc,Supported,,
6,adc_gpt_periodic_sampling,Supported,,
7,agt,Supported,Supported,Supported
8,audio_playback_pwm,Supported,,
9,cac,Supported,,
10,can,Supported,,
11,cpp,Supported,,
12,crc,Supported,,
13,dac,Supported,,
14,dma_spi,Supported,,
15,dmac,Supported,Supported,Supported
16,doc,Supported,,
17,elc,Supported,,
18,flash_lp,Supported,Supported,Supported
19,freertos,Supported,Supported,Supported
20,gpt,Supported,Supported,Supported
21,gpt_input_capture,Supported,,
22,icu,Supported,Supported,Supported
23,iic_master,Supported,,
24,iic_slave,Supported,Supported,Supported
25,iwdt,Supported,,
26,kint,Supported,,
27,lpm,Supported,,
28,lvd,Supported,,
29,mbed_crypto,Supported,,
30,opamp,Supported,,
31,rtc,Supported,Supported,Supported
32,sci_i2c,Supported,,
33,sci_spi,Supported,,
34,sci_uart,Supported,Supported,Supported
35,slcdc,Supported,,
36,spi,Supported,Supported,Supported
37,ssi,Supported,,
38,usb_pcdc,Supported,,
