,No.,Reference,Description,Manufacturer,PartNumber,Qty
1,1,"D17, D18, D19, D20, D21, D22",Diode,Toshiba Semiconductor and Storage,"1SS352, H3F",6
2,2,S1,Switch,E-Switch,100SP1T1B4M2QE,1
3,3,"JP8, JP9, JP10",Jumper,3M,961103-6404-AR,3
4,4,D12,Diode,Diodes Incorporated,B2100A-13-F,1
5,5,"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11",Diode,Panjit International Inc.,BAV99W_R1_00001,10
6,6,Q1,Transistors,Nexperia USA Inc.,"BC846B, 215",1
7,7,"C8, C10, C29, C39, C50, C59",Capacitor,MURATA,GRT188C8YA105KE13D,6
8,8,C17,Capacitor,MURATA,GRM1882C1H5R0C,1
9,8,"C13, C18, C19, C41, C42, C43, C52, C53, C62, C63",Capacitor,MURATA,GRM1882C1H101J,10
10,9,"C2, C7, C9, C15, C24, C28, C33, C40, C46, C51, C56, C61, C
66",Capacitor,MURATA,GRM188B31H104K,13
11,10,"C1, C14",Capacitor,Murata,GRT188R61H105KE13D,2
12,11,"C34, C47, C57, C67",Capacitor,MURATA,GRM1882C1H330J,4
13,12,C12,Capacitor,MURATA,GRM1882C1H331J,1
14,13,C3,Capacitor,MURATA,GRM1882C1H471J,1
15,14,"C69, C70, C71",Capacitor,MURATA,GRM188B11H682K,3
16,15,C6,Capacitor,MURATA,GRM1882C1H821J,1
17,16,C5,Capacitor,MURATA,GCJ188R72A104KA01D,1
18,17,"C36, C37",Capacitor,MURATA,GRM21BR61E106KA73L,2
