,18,"C35, C49, C60",Capacitor,MURATA,GRM21BC72A105KE01L,3
1,19,"C25, C26, C27",Capacitor,MURATA,GRT31CC81C226KE01L,3
2,20,"C16, C31",Capacitor,Wurth Elektronik,8. 6508E+11,2
3,21,SH1,THERMAL PAD,MAC8,CW-3,1
4,22,"S2, S3",Tactile Switches,Panasonic,EVQ-5PN04K,2
5,23,"U4, U6, U8",IC,Renesas,HIP2101IBZ,3
6,24,U1,IC,Renesas,ISL8560IRZ,1
7,25,U3,IC,Renesas,ISL85003FRZ,1
8,26,Q2,Transistors,IXYS,IXTP96P085T,1
9,27,"JP1, JP2, JP3, JP4, JP5, JP6",Jumper,MAC8,JR-1,6
10,28,"R46, R52, R75, R95",Resistor,Susumu,KRL6432E-M-R010-F-T1,4
11,29,L2,Inductor,TDK,NLFV25T-470K-EF,1
12,30,JP7,Jumper,Sullins Connector Solutions,PRPC003DAAN-RC,1
13,31,"TB1, TB2, TB3, TB4, TB5",Teraminal,MAC8,PV-3,5
14,32,"R41, R42, R51, R67, R83",Resistor,KOA,RK73Z1 JTTD,5
15,33,"R8, R11, R38, R47, R62, R71, R81, R93",Resistor,KOA,RK73H1 JTTD1000F,8
16,34,R16,Resistor,KOA,RK73H1 JTTD1001F,1
17,35,"R6, R9, R12, R30, R32, R34, R39, R44, R50, R63, R65, R72, R80, R82, R94, R97, R98, R99",Resistor,KOA,RK73H1 JTTD1002F,18
18,36,"R15, R17, R43, R64, R79, R96",Resistor,KOA,RK73H1 JTTD1003F,6
19,37,R48,Resistor,KOA,RK73H1 JTTD1801F,1
20,38,R49,Resistor,KOA,RK73H1 JTTD2000F,1
21,39,"R7,R10,R28,R29,R37,R40,R58,R59,R60,R61,R74,R76
R77, R78, R89, R90, R91, R92",Resistor,KOA,RK73H1 JTTD2001F,18
22,40,"R2, R20, R27, R54, R56, R69, R70, R85, R87",Resistor,KOA,RK73H1 JTTD2002F,9
23,41,"R19, R24, R26, R53, R57, R68, R73, R84, R88",Resistor,KOA,RK73H1 JTTD2003F,9
24,42,"R1, R100, R101",Resistor,KOA,RK73H1 JTTD2701F,3
25,43,R22,Resistor,KOA,RK73H1 JTTD3003F,1
