,44,R14,Resistor,KOA,RK73H1 JTTD3903F,1
1,45,"R31, R33, R35, R36",Resistor,KOA,RK73H1 JTTD4700F,4
2,46,R23,Resistor,KOA,RK73H1 JTTD4702F,1
3,47,R13,Resistor,KOA,RK73H1 JTTD5102F,1
4,48,"R4, R5",Resistor,KOA,RK73H1 JTTD5601F,2
5,49,R21,Resistor,KOA,RK73H1 JTTD5602F,1
6,50,R18,Resistor,KOA,RK73Z2BTTD,1
7,51,"R45, R66, R86, R103, R104",Resistor,Visha,RCG120610K0FKEA,5
8,52,R3,Resistor,KOA,RK73B2ETTD103J,1
9,53,R102,Resistor,KOA,RK73B2ETTD473J,1
10,54,"U2, U5, U7, U9",IC,Renesas,READ2302GSP#GC3,4
11,55,"Q3, Q4, Q5, Q6, Q7, Q8",Transistors,Renesas,RJK0703DPP-A0#T2,6
12,56,"CNA, CNB",Connector,Sullins Connector Solutions,SBH11-PBPC-D10-ST-BK,2
13,57,"D1, D14, D15",Diode,Rohm Semiconductor,SML-H12P8TT86C,3
14,58,D16,Diode,Rohm Semiconductor,SML-H12V8TT86C,1
15,59,D13,Diode,Rohm Semiconductor,UFZVFHTE-1712B,1
16,60,C4,Capacitor,Nichicon,UPM1 J151MPD1TD,1
17,61,C11,Capacitor,Nichicon,UPW1 J102MHD6,1
