,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,-,Dec.08.21,First release document.
3,1.01,-,Dec.20.21,"Updated release for FSP 3.5.0 (2).
:selected:"
4,1.02,-,Mar.21.22,Updated release for FSP 3.6.0.
5,1.03,-,Apr.11.22,"Updated release for FSP 3.6.0 (2).
:selected:"
6,1.04,-,Jul.18.22,"Updated release for FSP 3.8.0 (1).
:unselected:"
7,1.05,-,Aug.11.22,"Updated release for FSP 3.8.0 (2).
:selected:"
8,1.06,-,Sep.20.22,Updated release for FSP 4.0.0.
9,1.07,-,Oct.17.22,"Updated release for FSP 4.0.0 (2).
:selected:"
10,1.08,-,Nov.14.22,"Updated release for FSP 4.1.0 (1).
:unselected:"
11,1.09,-,Dec.01.22,Updated release for FSP 4.1.0 (2).
12,1.10,-,Jan.10.23,Updated release for FSP 4.2.0 (1).
13,1.11,-,Mar.24.23,"Updated release for FSP 4.3.0 (1).
:unselected:"
14,1.12,-,Apr.28.23,Updated release for FSP 4.4.0 (1).
15,1.13,-,Jun.01.23,"Updated release for FSP 4.4.0 (2).
:unselected:"
16,1.14,-,Jul.17.23,"Updated release for FSP 4.5.0 (1).
:unselected:"
17,1.15,-,Sep.18.23,Added support for FSP 4.5.0 (2).
18,1.16,-,Sep.26.23,Added support for FSP v4.6.0 (1).
19,1.17,-,Oct.23.23,"Added support for FSP v4.6.0 (2).
:selected:"
20,1.18,-,Nov.06.23,"Added support for FSP v5.0.0 (2).
:unselected:"
21,1.19,-,Dec.05.23,"Added support for FSP v5.0.0 (3).
:selected:"
22,1.20,-,Dec.19.23,"Added support for FSP v5.1.0 (2).
:selected:"
