,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,NetX_wifi,Supported,,
3,_quickstart,Supported,,
4,acmphs,Supported,,
5,adc,Supported,,
6,adc_gpt_periodic_sampling,Supported,,
7,agt,Supported,Supported,Supported
8,audio_playback_pwm,Supported,,
9,baremetal,Supported,,
10,cac,Supported,,
11,can_fd,Supported,,
12,cpp,Supported,,
13,crc,Supported,,
14,dac,Supported,,
15,dac_agt_periodic_signal_generator,Supported,,
16,dmac,Supported,Supported,Supported
17,doc,Supported,,
18,elc,Supported,,
19,flash_hp,Supported,Supported,Supported
20,freertos,Supported,Supported,Supported
21,gpt,Supported,Supported,Supported
22,gpt_input_capture,Supported,,
23,i3c_master,Supported,,
24,i3c_slave,Supported,,
25,icu,Supported,Supported,Supported
26,iwdt,Supported,,
27,lpm,Supported,,
28,lvd,Supported,,
29,poeg,Supported,,
30,sci_i2c_master,Supported,,
31,sci_spi,Supported,Supported,Supported
32,sci_uart,Supported,Supported,Supported
33,spi,Supported,Supported,Supported
34,tfu,Supported,,
35,vee_flash,Supported,,
36,wdt,Supported,Supported,Supported
37,trustzonelagt,Supported,Supported,Supported
38,trustzone/doc,Supported,Supported,Supported
