,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA6M5AH3CFC,PLQP0176KB-C,2MB,8KB,512KB
2,R7FA6M5AH3CFB,PLQP0144KA-B,,,
3,R7FA6M5AH3CFP,PLQP0100KB-B,,,
4,R7FA6M5AG3CFC,PLQP0176KB-C,1.5MB,8KB,512KB
5,R7FA6M5AG3CFB,PLQP0144KA-B,,,
6,R7FA6M5AG3CFP,PLQP0100KB-B,,,
7,R7FA6M5BH3CFC,PLQP0176KB-C,2MB,8KB,512KB
8,R7FA6M5BH3CFB,PLQP0144KA-B,,,
9,R7FA6M5BH3CFP,PLQP0100KB-B,,,
10,R7FA6M5BG3CFC,PLQP0176KB-C,1.5MB,8KB,512KB
11,R7FA6M5BG3CFB,PLQP0144KA-B,,,
12,R7FA6M5BG3CFP,PLQP0100KB-B,,,
13,R7FA6M5BF3CFC,PLQP0176KB-C,1MB,8KB,512KB
14,R7FA6M5BF3CFB,PLQP0144KA-B,,,
15,R7FA6M5BF3CFP,PLQP0100KB-B,,,
