,Product part number,Package code,Code flash,Data flash,SRAM,CAN-FD,Operating temperature
1,R7FA6T2AD3CFP,PLQP0100KB-B,512KB,16KB,64KB,Invalid,-40 to +105C
2,R7FA6T2BD3CFP,,,,,Valid,
3,R7FA6T2AB3CFP,,256KB,,,Invalid,
4,R7FA6T2BB3CFP,,,,,Valid,
5,R7FA6T2AD3CFM,PLQP0064KB-C,512KB,,,Invalid,
6,R7FA6T2BD3CFM,,,,,Valid,
7,R7FA6T2AB3CFM,,256KB,,,Invalid,
8,R7FA6T2BB3CFM,,,,,Valid,
9,R7FA6T2AD3CFL,PLQP0048KB-B,512KB,,,Invalid,
10,R7FA6T2BD3CFL,,,,,Valid,
11,R7FA6T2AB3CFL,,256KB,,,Invalid,
12,R7FA6T2BB3CFL,,,,,Valid,
13,R7FA6T2AD3CNB,PWQN0064LB-A,512KB,,,Invalid,
14,R7FA6T2BD3CNB,,,,,Valid,
15,R7FA6T2AB3CNB,,256KB,,,Invalid,
16,R7FA6T2BB3CNB,,,,,Valid,
17,R7FA6T2AD3CNE,PWQN0048KC-A,512KB,,,Invalid,
18,R7FA6T2BD3CNE,,,,,Valid,
19,R7FA6T2AB3CNE,,256KB,,,Invalid,
20,R7FA6T2BB3CNE,,,,,Valid,
