,TE bit,TIE bit,Channels not having FIFOs,Channels having FIFOs,
1,,,,Non-FIFO mode,FIFO mode
2,TE = 0,TIE = 0 to 1,Not generated,Not generated,Generated (case (1))
3,,TIE = 1 to 0,Not generated,Not generated,Not generated
4,TE = 1,TIE = 0 to 1,Not generated,Not generated,Generated (case (1))
5,,TIE = 1 to 0,Not generated,Not generated,Not generated
6,TE = 0 to 1,TIE = 0,Not generated,Not generated,Not generated
7,TE = 1 to 0,,Not generated,Not generated,Not generated
8,TE = 0 to 1,TIE = 1,Generated,Generated,Not generated (case (2))
9,TE = 1 to 0,,Generated,Generated,Not generated (case (2))
10,TE = TIE = 0 to 1,,Generated,Generated,Generated
11,TE = TIE = 1 to 0,,Not generated,Not generated,Not generated
