,Ordering Part Number,Changes,Product,PKG Type,
1,,Substrate Core Material,,,Substrate Through Hole Plugging Material
2,R1LV1616HBG-4SI#B0,Changed,R1LV1616HBG family,TFBGA,-
3,R1LV1616HBG-4SI#S0,Changed,R1LV1616HBG family,TFBGA,-
4,R1LV1616HBG-5SI#B0,Changed,R1LV1616HBG family,TFBGA,-
5,R1LV1616HBG-5SI#S0,Changed,R1LV1616HBG family,TFBGA,-
6,R2J30513LG#W2,Changed,DSC family,TFLGA,-
7,R7S910002CBG#AC0,-,RZ family,LFBGA,Changed
8,R7S910006CBG#AC0,-,RZ family,LFBGA,Changed
9,R7S910007CBG#AC0,-,RZ family,LFBGA,Changed
10,R7S910011CBG#AC0,-,RZ family,LFBGA,Changed
11,R7S910013CBG#AC0,-,RZ family,LFBGA,Changed
12,R7S910015CBG#AC0,-,RZ family,LFBGA,Changed
13,R7S910016CBG#AC0,-,RZ family,LFBGA,Changed
14,R7S910017CBG#AC0,-,RZ family,LFBGA,Changed
15,R7S910018CBG#AC0,-,RZ family,LFBGA,Changed
16,R7S910020CBG#AC0,-,RZ family,LFBGA,Changed
17,R7S910021CBG#AC0,-,RZ family,LFBGA,Changed
18,R7S910022CBG#AC0,-,RZ family,LFBGA,Changed
19,R7S910023CBG#AC0,-,RZ family,LFBGA,Changed
20,R7S910025CBG#AC0,-,RZ family,LFBGA,Changed
