,R7S910026CBG#AC0,-,Changed,RZ family,LFBGA
1,R7S910027CBG#AC0,-,Changed,RZ family,LFBGA
2,R7S910028CBG#AC0,-,Changed,RZ family,LFBGA
3,R7S910035CBG#AC0,-,Changed,RZ family,LFBGA
4,R7S910036CBG#AC0,-,Changed,RZ family,LFBGA
5,R7S910037CBG#AC0,-,Changed,RZ family,LFBGA
6,R7S910045CBG#AC0,-,Changed,RZ family,LFBGA
7,R7S910046CBG#AC0,-,Changed,RZ family,LFBGA
8,R7S910047CBG#AC0,-,Changed,RZ family,LFBGA
9,R7S910048CBG#AC0,-,Changed,RZ family,LFBGA
10,R7S910051CBG#AC0,-,Changed,RZ family,LFBGA
11,R7S910052CBG#AC0,-,Changed,RZ family,LFBGA
12,R7S910055CBG#AC0,-,Changed,RZ family,LFBGA
13,R7S910056CBG#AC0,-,Changed,RZ family,LFBGA
14,R7S910115B07CBG#AC0,-,Changed,RZ family,LFBGA
15,R7S910117B03CBG#AC0,-,Changed,RZ family,LFBGA
16,R7S910117B05CBG#AC0,-,Changed,RZ family,LFBGA
17,R7S910118B04CBG#AC0,-,Changed,RZ family,LFBGA
18,R7S910118CBG#AC0,-,Changed,RZ family,LFBGA
19,R7S910120B01CBG#AC0,-,Changed,RZ family,LFBGA
20,R9A06G043GBG#AC0,-,Changed,EC-1,LFBGA
21,R7FA6M3AF2CBG#AC0,-,Changed,RA family,LFBGA
22,R7FA6M3AF3CBG#AC0,-,Changed,RA family,LFBGA
23,R7FA6M3AH2CBG#AC0,-,Changed,RA family,LFBGA
24,R7FA6M3AH3CBG#AC0,-,Changed,RA family,LFBGA
25,R7FS5D97C2A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
26,R7FS5D97C3A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
27,R7FS5D97E2A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
28,R7FS5D97E3A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
29,R7FS7G27G2A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
30,R7FS7G27H2A01CBG#AC0,-,Changed,SYNERGY family,LFBGA
31,R5F5651CDDBG#20,-,Changed,RX family,LFBGA
32,R5F5651CDGBG#20,-,Changed,RX family,LFBGA
33,R5F5651CHDBG#20,-,Changed,RX family,LFBGA
34,R5F5651CHGBG#20,-,Changed,RX family,LFBGA
35,R5F5651EDDBG#20,-,Changed,RX family,LFBGA
36,R5F5651EDGBG#20,-,Changed,RX family,LFBGA
37,R5F5651EHDBG#20,-,Changed,RX family,LFBGA
38,R5F5651EHGBG#20,-,Changed,RX family,LFBGA
39,R5F565NCDDBG#20,-,Changed,RX family,LFBGA
40,R5F565NCDGBG#20,-,Changed,RX family,LFBGA
41,R5F565NCHDBG#20,-,Changed,RX family,LFBGA
42,R5F565NCHGBG#20,-,Changed,RX family,LFBGA
43,R5F565NEDDBG#20,-,Changed,RX family,LFBGA
44,R5F565NEDGBG#20,-,Changed,RX family,LFBGA
45,R5F565NEHDBG#20,-,Changed,RX family,LFBGA
