,IC1,Wu,Zheng
1,21 pin,P127/CAPH/(TI03)/(TO03),P127/CAPH/(TI03)/(TO03)/(REMOOUT)
2,33 pin,P77/KR0/SEG19/TKBO01-0,P77/KR7/SEG19/TKBO01-0
3,34 pin,P76/KR1/SEG18/TKBO01-1,P76/KR6/SEG18/TKBO01-1
4,35 pin,P75/KR2/SEG17/TKBO01-2,P75/KR5/SEG17/TKBO01-2
5,36 pin,P74/KR3/SEG16/TKBO00,P74/KR4/SEG16/TKBO00
6,37 pin,P73/KR4/SEG15,P73/KR3/SEG15
7,38 pin,P72/KR5/SEG14,P72/KR2/SEG14
8,39 pin,P71/KR6/SEG13,P71/KR1/SEG13
9,40 pin,P70/KR7/SEG12,P70/KR0/SEG12
10,79 pin,P21/ANI1/AVREFM,P21/ANI0/AVREFP
11,80 pin,P20/ANI0/AVREFP,P20/ANI1/AVREFM
