,IC1,Wrong,Right
1,21pin,P127/CAPH/(TI03)/(TO03),P127/CAPH/(TI03)/(TO03)/(REMOOUT)
2,33pin,P77/KR0/SEG19/TKBO01-0,P77/KR7/SEG19/TKBO01-0
3,34pin,P76/KR1/SEG18/TKBO01-1,P76/KR6/SEG18/TKBO01-1
4,35pin,P75/KR2/SEG17/TKBO01-2,P75/KR5/SEG17/TKBO01-2
5,36pin,P74/KR3/SEG16/TKBO00,P74/KR4/SEG16/TKBO00
6,37pin,P73/KR4/SEG15,P73/KR3/SEG15
7,38pin,P72/KR5/SEG14,P72/KR2/SEG14
8,39pin,P71/KR6/SEG13,P71/KR1/SEG13
9,40pin,P70/KR7/SEG12,P70/KR0/SEG12
10,79pin,P21/ANI1/AVREFM,P21/ANI0/AVREFP
11,80pin,P20/ANI0/AVREFP,P20/ANI1/AVREFM
