,1.,About QE for Capacitive Touch,2
1,1.1,Summary,2
2,1.2,Functions,2
3,1.3,New Functions,2
4,1.3.1,TrustZone project is now supported,2
5,1.3.2,New touch interface is now supported,2
6,1.3.3,Cap Touch Pad Monitor RA (QE) View added.,2
7,1.4,Supported Environment.,3
8,1.5,Supported Microcontrollers,3
9,1.6,Supported FSP,3
10,2.,Installation and Uninstallation,4
11,2.1,Installing This Product,4
12,2.1.1,Install from the e2 studio Installer,4
13,2.1.2,Using the QE Installer,4
14,2.2,Updating This Product.,5
15,2.3,Uninstalling This Product,5
16,3.,Notes / Restrictions.,6
17,3.1,Usage Considerations,6
18,3.1.1,Notes on Tuning,6
19,3.2,Functional Restrictions,6
20,3.2.1,Restrictions on Tuning,6
21,3.2.2,Restrictions on Configuration of Touch Interfaces,6
22,Revision History,,7
