,1.,About QE for Motor,2
1,1.1,Summary,2
2,1.2,Functions,2
3,1.3,Supported Environment.,4
4,1.4,Supported Microcontrollers,4
5,1.5,Supported Software,4
6,2.,Installation and Uninstallation,5
7,2.1,Installing This Product,5
8,2.1.1,"Install from the ""Renesas Software Installer"" menu of e2 studio",5
9,2.1.2,Install using QE (zip file) downloaded from the Renesas website,5
10,2.2,Updating This Product,6
11,2.3,Uninstalling This Product,6
12,3.,Notes / Restrictions.,6
13,3.1,Usage Considerations,6
14,3.1.1,Notes on Tuning,6
15,3.2,Functional Restrictions,6
16,Revision History,,7
