,1.,About QE for OTA [Technical Preview Edition],2
1,1.1,Summary,2
2,1.2,Workflow Diagram,2
3,1.3,OTA Manage IoT Device (QE) View,3
4,1.4,Supported Environment.,3
5,1.5,Supported Microcontroller,4
6,1.6,Supported Board and RTOS,4
7,2.,Installation and Uninstallation,5
8,2.1,Installing This Product,5
9,2.1.1,"Install from the ""Renesas Software Installer"" menu of e2 studio",5
10,2.1.2,Install using QE (zip file) downloaded from the Renesas website,5
11,2.2,Uninstalling This Product,6
12,3.,Notes / Restrictions.,7
13,3.1,Usage Considerations,7
14,3.1.1,Notes of FreeRTOS v202107 .- rx-1.0.x,7
15,3.1.2,Notes of Writing Initial Firmware,7
16,3.2,Functional Restrictions,7
17,3.2.1,Restrictions of OTA Main(QE) view,7
18,Revision History,,8
