,(Rev.4.0-1 November 2017),
1,RENESAS SALES OFFICES Renesas Electronics Corporation,http://www.renesas.com
2,"Refer to ""http://www.renesas.com/"" for the latest and detailed information.",
3,Renesas Electronics America Inc.,
4,"1001 Murphy Ranch Road, Milpitas, CA 95035, U.S.A.",
5,"Tel: +1-408-432-8888, Fax: +1-408-434-5351",
6,Renesas Electronics Canada Limited,
7,"9251 Yonge Street, Suite 8309 Richmond Hill, Ontario Canada L4C 9T3",
8,Tel: +1-905-237-2004,
9,Renesas Electronics Europe Limited,
10,"Dukes Meadow, Millboard Road, Bourne End, Buckinghamshire, SL8 5FH, U.K",
11,"Tel: +44-1628-651-700, Fax: +44-1628-651-804",
12,Renesas Electronics Europe GmbH,
13,"Arcadiastrasse 10, 40472 Dusseldorf, Germany",
14,"Tel: +49-211-6503-0, Fax: +49-211-6503-1327",
15,"Renesas Electronics (China) Co., Ltd.",
16,"Room 1709 Quantum Plaza, No.27 ZhichunLu, Haidian District, Beijing, 100191 P. R. China",
17,"Tel: +86-10-8235-1155, Fax: +86-10-8235-7679",
18,"Renesas Electronics (Shanghai) Co., Ltd.",
19,"Unit 301, Tower A, Central Towers, 555 Langao Road, Putuo District, Shanghai, 200333 P. R. China",
20,"Tel: +86-21-2226-0888, Fax: +86-21-2226-0999",
21,Renesas Electronics Hong Kong Limited,
22,"Unit 1601-1611, 16/F., Tower 2, Grand Century Place, 193 Prince Edward Road West, Mongkok, Kowloon, Hong Kong",
23,"Tel: +852-2265-6688, Fax: +852 2886-9022",
24,"Renesas Electronics Taiwan Co., Ltd.",
25,"13F, No. 363, Fu Shing North Road, Taipei 10543, Taiwan",
26,"Tel: +886-2-8175-9600, Fax: +886 2-8175-9670",
27,Renesas Electronics Singapore Pte. Ltd.,
28,"80 Bendemeer Road, Unit #06-02 Hyflux Innovation Centre, Singapore 339949",
29,"Tel: +65-6213-0200, Fax: +65-6213-0300",
30,Renesas Electronics Malaysia Sdn.Bhd.,
31,"Unit 1207, Block B, Menara Amcorp, Amcorp Trade Centre, No. 18, JIn Persiaran Barat, 46050 Petaling Jaya, Selangor Darul Ehsan, Malaysia Tel: +60-3-7955-9390, Fax: +60-3-7955-9510",
32,Renesas Electronics India Pvt. Ltd.,
33,"No.777C, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore 560 038, India",
34,"Tel: +91-80-67208700, Fax: +91-80-67208777",
35,"Renesas Electronics Korea Co., Ltd.",
36,"17F, KAMCO Yangjae Tower, 262, Gangnam-daero, Gangnam-gu, Seoul, 06265 Korea Tel: +82-2-558-3737, Fax: +82-2-558-5338",
