,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,quickstart,Supported,,
3,acmplp,Supported,,
4,adc,Supported,,
5,adc_gpt_periodic_sampling,Supported,,
6,agt,Supported,Supported,Supported
7,audio_playback_pwm,Supported,,
8,cac,Supported,,
9,can,Supported,Supported,
10,cpp,Supported,,
11,crc,Supported,,
12,dac,Supported,,
13,dac8,Supported,,
14,dac_agt_periodic_signal_generator,Supported,,
15,doc,Supported,,
16,elc,Supported,,
17,flash_lp,Supported,Supported,Supported
18,freertos,Supported,Supported,Supported
19,gpt,Supported,Supported,Supported
20,gpt_input_capture,Supported,,
21,icu,Supported,Supported,Supported
22,iic_master,Supported,,
23,iic_slave,Supported,Supported,Supported
24,iwdt,Supported,,
25,kint,Supported,,
26,lpm,Supported,,
27,lvd,Supported,,
28,opamp,Supported,,
29,rtc,Supported,Supported,Supported
30,sci_i2c,Supported,,
31,sci_spi,Supported,,
32,sci_uart,Supported,Supported,Supported
33,sdadc,Supported,,
34,spi,Supported,Supported,Supported
35,usb_pcdc,Supported,,
36,usb_pcdc_with_freertos,Supported,,
37,usb_phid,Supported,,
38,usb_pvnd,Supported,,
