,No,Group,Product part number,Package code
1,1,RL78/G22,R7F102GGC2DFB,PLQP0048K*
2,2,RL78/G22,R7F102GGC3CFB,PLQP0048K*
3,3,RL78/G22,R7F102GGE2DFB,PLQP0048K*
4,4,RL78/G22,R7F102GGE3CFB,PLQP0048K*
5,5,RL78/G22,R7F102GAC2DSP,PLSP0030J*
6,6,RL78/G22,R7F102GAC3CSP,PLSP0030J*
7,7,RL78/G22,R7F102GAE2DSP,PLSP0030J*
8,8,RL78/G22,R7F102GAE3CSP,PLSP0030J*
9,9,RL78/G22,R7F102GFC2DFP,PLQP0044G*
10,10,RL78/G22,R7F102GFC3CFP,PLQP0044G*
11,11,RL78/G22,R7F102GFE2DFP,PLQP0044G*
12,12,RL78/G22,R7F102GFE3CFP,PLQP0044G*
13,13,RL78/G22,R7F102GBC2DFP,PLQP0032G*
14,14,RL78/G22,R7F102GBC3CFP,PLQP0032G*
15,15,RL78/G22,R7F102GBE2DFP,PLQP0032G*
16,16,RL78/G22,R7F102GBE3CFP,PLQP0032G*
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
