,No,Group,Product part number,Package code
1,1,RA2E2,R7FA2E2A32DNJ,PWQN0020K*
2,2,RA2E2,R7FA2E2A33CNJ,PWQN0020K*
3,3,RA2E2,R7FA2E2A34CNJ,PWQN0020K*
4,4,RA2E2,R7FA2E2A52DNJ,PWQN0020K*
5,5,RA2E2,R7FA2E2A53CNJ,PWQN0020K*
6,6,RA2E2,R7FA2E2A54CNJ,PWQN0020K*
7,7,RA2E2,R7FA2E2A72DNJ,PWQN0020K*
8,8,RA2E2,R7FA2E2A73CNJ,PWQN0020K*
9,9,RA2E2,R7FA2E2A74CNJ,PWQN0020K*
10,10,RA2E2,R7FA2E2A32DNK,PWQN0024K*
11,11,RA2E2,R7FA2E2A33CNK,PWQN0024K*
12,12,RA2E2,R7FA2E2A34CNK,PWQN0024K*
13,13,RA2E2,R7FA2E2A52DNK,PWQN0024K*
14,14,RA2E2,R7FA2E2A53CNK,PWQN0024K*
15,15,RA2E2,R7FA2E2A54CNK,PWQN0024K*
16,16,RA2E2,R7FA2E2A72DNK,PWQN0024K*
17,17,RA2E2,R7FA2E2A73CNK,PWQN0024K*
18,18,RA2E2,R7FA2E2A74CNK,PWQN0024K*
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
