,No,Group,Product part number,Package code
1,1,RA4T1,R7FA4T1B93CFJ,PLQP0032G*
2,2,RA4T1,R7FA4T1BB3CFJ,PLQP0032G*
3,3,RA4T1,R7FA4T1B93CFL,PLQP0048K*
4,4,RA4T1,R7FA4T1BB3CFL,PLQP0048K*
5,5,RA4T1,R7FA4T1B93CFM,PLQP0064K*
6,6,RA4T1,R7FA4T1BB3CFM,PLQP0064K*
7,7,RA4T1,R7FA4T1B93CNE,PWQN0048K*
8,8,RA4T1,R7FA4T1BB3CNE,PWQN0048K*
9,9,RA4T1,R7FA4T1B93CNH,PWQN0032K*
10,10,RA4T1,R7FA4T1BB3CNH,PWQN0032K*
11,11,,,
12,12,,,
13,13,,,
14,14,,,
15,15,,,
16,16,,,
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
