,No,Group,Product part number,Package code
1,1,RA6M4,R7FA6M4AD2CBM,PLBG0144K*
2,2,RA6M4,R7FA6M4AD3CBM,PLBG0144K*
3,3,RA6M4,R7FA6M4AE2CBM,PLBG0144K*
4,4,RA6M4,R7FA6M4AE3CBM,PLBG0144K*
5,5,RA6M4,R7FA6M4AF2CBM,PLBG0144K*
6,6,RA6M4,R7FA6M4AF3CBM,PLBG0144K*
7,7,RA6M4,R7FA6M4AD2CBQ,PLBG0064]*
8,8,RA6M4,R7FA6M4AD3CBQ,PLBG0064J*
9,9,RA6M4,R7FA6M4AE2CBQ,PLBG0064J*
10,10,RA6M4,R7FA6M4AE3CBQ,PLBG0064]*
11,11,RA6M4,R7FA6M4AF2CBQ,PLBG0064]*
12,12,RA6M4,R7FA6M4AF3CBQ,PLBG0064]*
13,13,RA6M4,R7FA6M4AD3CFB,PLQP0144K*
14,14,RA6M4,R7FA6M4AE3CFB,PLQP0144K*
15,15,RA6M4,R7FA6M4AF3CFB,PLQP0144K*
16,16,RA6M4,R7FA6M4AD3CFM,PLQP0064K*
17,17,RA6M4,R7FA6M4AE3CFM,PLQP0064K*
18,18,RA6M4,R7FA6M4AF3CFM,PLQP0064K*
19,19,RA6M4,R7FA6M4AD3CFP,PLQP0100K*
20,20,RA6M4,R7FA6M4AE3CFP,PLQP0100K*
21,21,RA6M4,R7FA6M4AF3CFP,PLQP0100K*
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
