,No,Group,Product part number,Package code
1,1,RA8D1,R7FA8D1AFECBD,PLBG0224G*
2,2,RA8D1,R7FA8D1AHECBD,PLBG0224G*
3,3,RA8D1,R7FA8D1BFECBD,PLBG0224G*
4,4,RA8D1,R7FA8D1BHECBD,PLBG0224G*
5,5,RA8D1,R7FA8D1AFECFC,PLQP0176K*
6,6,RA8D1,R7FA8D1AHECFC,PLQP0176K*
7,7,RA8D1,R7FA8D1BFECFC,PLQP0176K*
8,8,RA8D1,R7FA8D1BHECFC,PLQP0176K*
9,9,,,
10,10,,,
11,11,,,
12,12,,,
13,13,,,
14,14,,,
15,15,,,
16,16,,,
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
