,TestGPRsCouplingR4_R6_B.asm,1 .x / 2.x1)
1,TestGPRsCouplingR7_R9_A.asm,1.x / 2.x1)
2,TestGPRsCouplingR7_R9_B.asm,1.x / 2.x1)
3,TestGPRsCouplingR10_R12_A.asm,1.x / 2.x1)
4,TestGPRsCouplingR10_R12_B.asm,1 .x / 2.x1)
5,clock_monitor.c,1.x / 2.x1)
6,crc.c,1.x / 2.x1)
7,CRC_Verify.c,1.x / 2.x1)
8,ramtest_march_c.c,1.x / 2.x1)
9,ramtest_march_c_HW.c,1 .x / 2.x1)
10,ramtest_march_HW.c,1.x / 2.x1)
11,"ramtest_march_x_wom.c
:selected:",1.x / 2.x1)
12,"ramtest_march_x_wom_HW.c
:selected: :unselected:",1.x / 2.x1)
13,ramtest_stack.c,1.x / 2.x1)
14,test_adc.c,1 .x / 2.x1)
15,gpio.c,1.x / 2.x1)
16,StarBoth TestAssembly.asm,1 .x / 2.x1)
17,StartMainTestAssemly.ams,1.x / 2.x1)
18,StartProcTestAssemly.ams,1.x / 2.x1)
