,Function Name,RA2E1,RA2E3
1,CPU,Arm Cortex-M23@48MHz,
2,Startup mode,:unselected:,
3,Address space,:unselected:,
4,Reset,:unselected:,
5,Option setting memory,:unselected:,
6,Low voltage detection circuit (LVD),:unselected:,
7,Clock generation circuit,:unselected:,
8,Clock frequency accuracy measurement circuit (CAC),:unselected:,
9,Low power consumption mode,:unselected:,
10,Register write protection,:unselected:,
11,Interrupt Controller Unit (ICU),:unselected:,
12,Bus,:unselected:,
13,Memory Protection Unit (MPU),:unselected:,
14,Data Transfer Controller (DTC),:unselected:,
15,Event Link Controller (ELC),:unselected:,
16,I/O Ports,:unselected:,
17,Key interrupt function (KINT),:unselected:,
18,Port Output Enable for GPT (POEG),:unselected:,
19,General-purpose PWM timer (GPT),:unselected:,
20,Low-power asynchronous general-purpose timer (AGT),:unselected:,
21,Real-time clock (RTC),:unselected:,
22,Watchdog Timer (WDT),:unselected:,
23,Independent Watchdog Timer (IWDT),:unselected:,
24,Serial Communication Interface (SCI),:unselected:,
25,I2C Bus Interface (IIC),:unselected:,
26,Serial Peripheral Interface (SPI),:unselected:,
27,Cyclic Redundancy Check (CRC),:unselected:,
28,12-bit A/D converter (ADC12),:unselected:,
29,Temperature Sensor Circuit (TSN),:unselected:,
30,Low-power analog comparator (ACMPLP),:unselected:,-
31,Capacitive sensing unit (CTSU2),:unselected:,-
32,Data Operation Circuit (DOC),:unselected:,
33,SRAM (KB),16,
34,Code flash memory (KB),128/64/32,64/32
