,Item,Quality,Reference,Manufacturer,Part number,Remarks
1,1,1,BZ1,TDK,SD1209T5-A1,BUZZER
2,2,1,C1,MURATA,GRM21BB31A106KE(10uF/10V),CAP CERAMIC
3,3,1,C2,MURATA,GRM155R61H104KE14D(0.1uF/50V),CAP CERAMIC
4,4,1,CN1,Hirosugi-Keiki,PSR-420257-8,CONNECTOR
5,5,2,"CN2,CN3",Hirosugi-Keiki,PSR-420257-10,CONNECTOR
6,6,1,CN4,MOLEX,522711569,CONNECTOR
7,7,1,D1,TOSHIBA,1SS387,DIODE
8,8,10,DTC1-10,ROHM,DTC143EE,DIGITAL TRANSISTOR
9,9,36,LED1-36,Stanley,VCHW1154LDSE-3C9L4-TR(white),LED
10,10,36,R1-36,ROHM,MCR10EZHJ151(150J 1/8W),RES
11,11,1,-,-,SEC-537,BOARD
12,12,1,-,-,-,Film Electrode Sheet
