,Unit,Pin name,1/0,Function
1,Unit 0,AVCCO,Input,Analog block power supply pin
2,,AVSSO,Input,Analog block power supply ground pin
3,,VREFHO,Input,Reference power supply pin
4,,VREFLO,Input,Reference power supply ground pin
5,,"AN000 to AN007, *1 AN016 to AN020",Input,Analog input pins 0 to 7 and 16 to 20
6,,ADTRGO,Input,"External trigger input pin for starting A/D conversion, active-low"
7,Unit 1,AVCCO,Input,Analog block power supply pin
8,,AVSSO,Input,Analog block power supply ground pin
9,,VREFH,Input,Reference power supply pin for ADC12 unit 1 and DAC
10,,VRELF,Input,Reference power supply ground pin for ADC12 unit 1 and DAC
11,,"AN100 to AN102, AN105 to AN107, *1 AN116 to AN118",Input,"Analog input pins 0 to 2, 5 to 7, and 16 to 18"
12,,ADTRG1,Input,"External trigger input pin for starting A/D conversion, active-low"
