,BGA176,LPQFP176,LPQFP1 44,LPQFP1 00,"Power, System, Clook, Debug, CAC",porto,Ex. Buc,Ex. Interrupt,"$SIE/&DHU/MMC/EHTERC(MII,RMIIV/CEC",OPTIAGT/RTC,ADC12/DAC12,CTSU
1,N13,1,1,1,-,P400,-,IROD,SCK4/SCK7/8CLO_NAUDIO_CLKIETO_WOU ETD_WOL,GTIOCSAAGTIO1,ADTRO1,-
2,R15,2,2,2,-,P401,-,IRO5-DS,CTS4_RT84/TXD7/8DAQ_A/CTXDETO_MDC/ ETD_MDC,GTETRGAIGTIOCSB,-,-
3,P14,3,3,3,CACREF,P402,,IR04-DS,CTS4/RXD7/CRXD/AUDIO_CLKJETO_MDIO/ ETD_MDIO,AGTIODIAGTIO1/AGTIOZ AGTIOBIRTCICO,-,-
4,M12,4,4,,-,P403,-,IRQ14-08,CTS7_RT87/8SIBCKD_A/ETO_LINKSTAI ETD_LINKSTA,GTIOCBA/AGTIODIAGTIO1/ AGTIOZIAGTIO3/RTCIC1,-,-
5,M13,5,5,5,-,P404,-,IRQ15-08,CTS7/SSILRCKD_NETO_EXOUTIETO_EXOUT,GTIOCEB/AGTIOQ_GIAGTIO1/ AGTIOZIAGTIO3/RTCIC2,-,-
6,P15,6,6,6,-,P405,-,-,,GTIOCIA,-,-
7,N14,7,7,7,-,P405,-,,SSLA3_C/SSIRXDO_A/ETQ_RX_ERRMIIQ_TXD1_B,GTIOC1B/AGTOS,-,-
8,N15,8,8,-,-,P700,-,-,,GTIOCSAJAGTO4,-,-
9,M14,9,9,-,-,P701,-,-,MOSIA_C/ETQ_ETXDO/REFSOCKD_B,GTIOCEB/AGTO3,-,"-
:unselected:"
10,L12,10,10,-,-,P702,-,-,RSPCKA_C/ETQ_FRXD1/RMIIQ_RXDQ_B,GTIOCSAJAGTOZ,-,-
11,M15,11,11,-,-,P703,-,-,,GTIOCEEVAGTO1,-,"-
:unselected:"
12,L13,12,12,-,-,P704,-,-,SSLA1_C/CTXDETO_RX_CLKRMIIQ_RX_ER_B,AGTOO,-,"-
:unselected:"
13,K12,13,13,-,,P705,-,-,CTS3/SSLA2_C/CRXDETQ_CRS/RMIO_CRS_DV_B,AGTIOO,-,-
14,L14,14,-,-,-,P705,-,IRQ7,USBHS_OVRCURB/RXD3_B,,-,-
15,L15,15,-,-,,P707,-,IROB,USBHS_OVRCURA/TXD3_B,-,-,-
16,J12,16,-,-,-,PB00,-,-,USBHS_VBUSEN/SCK3_B,-,-,"-
:unselected:"
17,K13,17,-,-,-,PB01,-,-,USBHS_VBUS/CTS_RT83_B,-,-,-
18,K14,18,14,B,VBATT,-,-,-,-,"-
:unselected:",-,-
19,K15,19,15,,VCLO,-,-,-,-,-,-,
20,J15,20,15,10,XCIN,-,,-,-,"-
:unselected:",-,-
21,J14,21,17,11,XCOUT,-,-,-,-,"-
:unselected:",-,-
22,J13,22,18,12,,-,-,-,-,:unselected:,-,-
23,H14,23,19,13,XTAL,P213,-,IRO2,TXD1,GTETROCIGTIOCOA/AGTEE2,ADTRO1,-
24,H15,24,20,14,EXTAL,P212,-,IRQ3,RXD1,GTETRODIGTIOCOBIAGTEE1,-,-
25,H12,25,21,15,VCC,-,-,-,-,-,-,-
26,H13,26,-,-,AWCC_USBHS,-,-,-,-,-,-,-
27,G13,27,-,-,USBHS_RREF,-,,-,,-,-,
28,G14,28,-,,AWSS_USBHS,-,-,-,-,-,-,-
