,G15,29,-,,PV88_USBHS,,,-,-,-,-,
1,G12,30,-,-,V882_USBHS,-,-,-,-,,-,-
2,F15,31,-,-,USBHS_DM,-,,-,-,-,-,-
3,F14,32,-,-,USBHS_DP,-,-,-,-,-,-,-
4,F12,33,-,-,V881_USBHS,-,-,-,-,,-,-
5,F13,34,-,-,VCC_USBHS,-,-,-,-,-,-,-
6,-,,22,-,-,P713,-,-,-,GTIOCZA/AGTOAD,-,TS17
7,-,-,23,-,-,P712,-,-,-,GTIOCZB/AGTOBO,-,TS16
8,-,,24,-,-,P711,-,-,CTS1_RT81/ETD_TX_CLK,AGTEED,-,TS15
9,-,-,25,-,-,P710,-,,SCK1/ETO_TX_ER,-,-,TS14
10,,,26,-,,P709,,IR010,,-,-,TS13
11,E15,35,27,16,CACREF,P708,-,IRQ11,RXD1/88LB3_BIAUDIO_CLKIETO_ETXD3/CECIO,-,-,TS12
12,E14,36,28,17,-,P415,-,IROB,SCL2/88LB2_B/USB_VBUSEN/SDOCDIETO_TX_EN RIMIID_TXD_ENLA,GTIOCONAGTIO4,-,TS11
13,D15,37,29,18,-,P414,-,IR09,SDAZ/CTSO/SSLB 1_B/SDOWPIETQ_RX_ER/ RMIID_TXD1_A,GTIOCOBIAGTIOS,-,TS10
14,E13,38,30,19,-,P413,,-,CTSO_RT80/SSLBD_B/SDOCLK_A/ETQ_ETXD1/ RMIID_TXDQ_A,GTOUUPJAGTEE3,,T809
