,BGA176,LPQFP176,LPQFP144,LPQFP100,"Power, System, Clook, Debug, CAC",VO porto,Ex. Buc,Ex. Interrupt,"SCVIIC/SPI/CAN/USBFS/USBH&/Q SPI/OSPU $SIE/SDHU/MMC/EHTERC(MII,RMIIJ/CEC",GPTIAGT/RTC,ADC12/DAC12,CTSU
1,D14,39,31,20,-,P412,-,,REFSOCKID_A,GTOULOIAGTEE1,1,TS08
2,C15,40,32,21,-,P411,,IR04,TXDO/CT83_RT83MOSIB_B/SDODATO_A/,GTOVUPIGTIOCSAJAGTOA1,-,TS07
3,C14,41,33,22,-,P410,-,IRO5,ETO_ERXDORMIO_RXD1_A,GTOVLOIGTIOCSB/AGTOB1,-,TS06
4,B15,42,34,23,-,P409,,IRO5,TXD3/SDAZ/USB_EXICEN/USBHS_EXICEN! ETD_RX_CLKIRMIID_RX_ER_A,GTOWUPYAGTOA2,-,TS05
5,D13,43,35,"24
:selected:",-,P408,-,IRQ7,CTS4/RXD3/8CLO_B/USB_ID/USBHS_ID/ETO_CRS/ RMIID_CRS_DV_A,GTOWLOIGTIOCSB/AGTOB2,-,TS04
6,A15,44,35,25,-,P407,-,-,ETO_FXOUTIETO_FXOUT,GTIOCSA/AGTICORTOOUT,ADTRIGO,TS03
7,C13,45,37,25,VSS_USB,-,-,-,-,-,-,-
8,B14,46,38,27,USB_DM,-,,-,-,-,-,-
9,A14,47,39,28,USB_DP,-,,,-,-,-,-
10,B13,49,40,29,VCC_USB,-,-,,-,-,-,-
11,C12,49,41,30,-,P207,A17,-,TXD4/SSLA2_A/QSSL,-,-,TSCAP
12,D12,50,42,31,-,P205,WAIT,IROD-DS,RXD4/CT89/8DA1_B/SSLA1_A/USB_VBUSEN! SDODAT2_AVETO_LINKSTAIETO_LINKSTA/CECIO/ SSIDATAD_C,GTIU,-,TS02
13,E12,51,43,32,CLKOUT,P205,A15,IRQ1-DS,USB_OVRCURA-DS/SSILRCKD_C/SDODAT3_A/ ETO_WOLIETQ_WOL,GTIMIGTIOC4A/AGTO1,-,TS01
14,A13,52,44,-,CACREF,P204,A18,-,SCK4/SCK9/RSPCKA_AUSB_OVRCURE-DS/ SSIBCKD_C/SDODAT4_NETO_RX_DV,GTIWGTIOC4B/AGTIO1,-,TS00
15,D11,53,45,-,-,P203,A19,IRO2-DS,CT82_RT82/TXD9/MOSIA_A/CTXD/SDODATS_A/ ETD_COL,GTIOCSAVAGTOA3,-,TS18
16,B12,54,45,-,,P202,WR1/BC1,IR03-DS,SCK2/RXD9/MISOA_A/CRXD/SDODAT6_A/ ETD_ERXD2,GTIOCSEVAGTOB3,-,TS19
17,A12,55,47,-,-,P313,A20,-,SDODAT7_AVETD_ERXD3,-,-,-
18,C1,56,-,-,,P314,A21,-,-,-,ADTRIGO,-
19,B11,57,,-,,P315,A22,,RXD4_C,-,-,-
20,A11,59,-,-,-,P900,A23,-,TXD4_C,-,-,-
21,C10,59,-,-,-,P901,-,-,SCKA_C,AGTIO1_E,-,-
22,D10,50,48,-,V88,-,-,-,-,-,-,-
23,DS,61,49,-,VCC,-,-,-,-,,-,
24,A10,62,50,33,TCLK,P214,-,-,QSPOLK/SDOCLK_BIETO_MDCIETO_MDC,GTIUIAGTOS,-,-
25,B10,,51,34,TDATAO,P211,C37,-,Q100/SDOCMD_BIETO_MDIDIETO_MDIO,GTIMAGTOAS,-,-
26,AB,64,52,35,TOATA1,P210,C95,-,,GTIWAGTOBS,-,-
27,,,53,35,TDATA2,P209,C95,-,QIOZISDOWPIETO_EXOUTIETO_EXOUT,GTOVUPYAGTEES,-,-
28,AB,,54,37,TOATA3,P208,C94,-,QIOE/SDODATO_BIETO_LINKSTA/ETQ_LINKSTA,GTOVLO,-,-
29,&,67,55,38,RES,-,-,-,-,-,-,-
30,BB,69,55,39,MD,P201,-,-,-,-,-,-
31,C8,69,57,40,-,P200,-,NMI,-,-,-,-
32,DB,70,-,-,-,P908,-,IRQ11,USBHS_EXICEN,-,-,
33,D7,71,-,-,-,P807,-,IRQ10,USBHS_ID,-,-,-
34,AZ,72,-,-,-,P905,-,IR09,USB_EXICEN_C,-,-,-
35,B7,73,,-,-,P905,-,IROB,USB_ID_C,-,-,-
36,C7,74,58,-,,P312,C33,-,CTS3_RT83,AGTOA1,-,-
37,D6,75,59,-,,P311,C32,-,SCK3,AGTOB1,-,-
38,AE,76,50,-,-,P310,A15,-,TXD3/0103,AGTEE1,-,-
39,,77,51,-,-,P309,A14,,RXD3/Q102,AGTOA4,-,-
40,AS,78,52,-,-,P308,A13,-,CTS6/CTS3/0101,AGTOB4,-,-
41,C6,79,53,41,-,P307,A12,-,CT86_RT85/0100,GTOUUP_DIAGTEE4,-,-
42,A4,80,54,42,-,P305,A11,-,SCK6/0SSL,GTOULO_DIAGTOAZ,-,-
