,,BGA176,LPQFP176,LPQFP144,LPQFP100,"Power, System, Clook, Debug, CAC",VO porto,Ex. Buc,Ex. Interrupt,"SCUIC/SPI/CAN/USBFS/USBHS/QSPI/OSPU $SIE/SDHU/MMC/EHTERC(MII,RMIIJ/CEC",GPT/AGT/RTC,ADC12/DAC12,CTSU
1,,BS,8,65,43,-,P305,A10,IROB,TXD6/OSPCLK,GTOWUPVAGTOB2,-,"-
:unselected:"
2,,B4,82,65,44,-,P304,A9,IRQ9,RXDS,GTOWLO/GTIOCTAVAGTEE2,-,"-
:unselected:"
3,,C5,83,67,45,V88,-,-,-,-,-,,"-
:unselected:"
4,,DS,84,58,45,VCC,-,-,-,-,-,-,"-
:unselected:"
5,,A3,85,59,47,-,P303,AB,-,CTS9,GTIOC7B,:unselected:,"-
:unselected:"
6,,,86,70,48,-,P302,A7,IROS,TXDZ/SSLA3_B,GTOUUPIGTIOCAA,"-
:unselected:","-
:unselected:"
7,,AZ,87,71,49,-,P301,A6,IROS,RXD2/CT89_RTS9/8SLA2_B,GTOULOIGTIOC4B/AGTICO,:unselected:,"-
:unselected: :unselected:"
8,,C4,88,72,50,TCK/SWCLK,P300,-,-,SSLA1_B,GTOUUPIGTIOCDA,:unselected:,"-
:unselected:"
9,,C3,89,73,51,TMS/SWDIO,P108,-,-,CTS9_RT89/8SLAD_B,GTOULOIGTIOCCEAGTOA3,"-
:unselected:","-
:unselected:"
10,,A1,DS,74,52,TDOSWOICLKOUT,P109,-,-,TXD9/MOBIA_B/CTX1,GTOVUPIGTIOCIAIAGTOB3,:unselected:,"-
:unselected: :unselected:"
11,,D3,91,75,53,TDI,P110,-,IRQ3,,GTOVLOIGTIOC1B/AGTEE3,"-
:unselected:","-
:unselected:"
12,,D4,,76,54,-,P111,AS,IR04,SCK2/SCK9/RSPCKA_B,GTIOCBAJAGTOAS,-,"-
:unselected:"
13,,B2,93,77,55,-,P112,AA,-,TXDZISCK1/SSLAD_B/QSSL/OM_CS1/8SISCKD_B,GTIOCEB/AGTOBS,"-
:unselected:","-
:unselected:"
14,,B1,94,78,55,-,P113,A3,,RXD2/8SILACKD_B,GTIOCZA/AGTEES,"-
:unselected:","-
:unselected:"
15,,C2,95,79,57,-,P114,AZ,-,CTS9/SSIRXDO_B,GTIOCZE/AGTIOS,"-
:unselected:",-
16,,C1,96,,58,-,P115,A1,-,SSITXDO_B,GTIOCAA,:unselected:,"-
:unselected:"
17,,E3,97,81,-,VOC,-,-,,-,-,,"-
:unselected:"
18,,E4,,82,-,V88,-,-,,-,-,-,"-
:unselected:"
19,,D2,99,83,59,-,P608,ADBCO,,-,GTIOC4B,-,-
20,,D1,100,84,60,,P609,C31,-,CTXVOM_ECS,GTIOCSAVAGTOS,-,-
21,,F3,101,85,51,-,P610,C90,-,CTS7/CRX1/OM_CSO,GTIOCEBAGTO4,-,-
22,,E2,102,85,,CACREFICLKOUT,P611,-,-,CTS7_RT87,AGTO3,-,-
23,,E1,103,87,-,-,P612,DB,-,SCK7,AGTO2,"-
:unselected:",-
24,,F4,104,88,-,-,P613,D9,-,TXD7,AGTO1,-,-
25,,F2,105,89,-,-,P614,D10,-,RXD7,AGTOO,-,-
26,,F1,105,-,-,-,P615,-,IRQ7,USB_VBUSEN_D,-,-,-
27,,G1,107,-,-,-,PADS,-,IRO5,USB_OVRCURA_C,-,-,-
28,,G4,108,-,-,-,PA09,-,IROS,USB_OVRCURB_C,-,-,-
29,,G2,109,-,-,-,PA10,-,IR04,-,-,-,-
30,,G3,110,90,62,VCC,-,,-,-,-,-,-
31,,H3,111,91,53,V88,-,-,-,-,-,,-
32,,H1,112,92,64,VCL,-,-,-,-,-,-,-
33,,H2,113,-,-,-,PAD1,-,-,SCKB_C,-,-,-
34,,H4,114,-,-,-,PADO,-,-,TXDE_C,-,-,-
35,,J4,115,-,-,-,P607,-,,RXDB_C,-,-,-
36,,J1,116,-,-,-,P605,-,,CTS_RTS8_C,RTCOUT_B,-,-
37,,J2,117,93,-,,P605,D11,-,CTS8,GTIOCBAJAGTO4,-,-
38,,J3,118,94,-,-,P604,D12,,CTS9,GTIOCSB/AGTEE4,-,-
39,,K3,119,95,-,-,P603,D13,,CTS9_RT89,GTIOCTAVAGTIO4,,-
40,,K1,120,95,55,-,P602,BCLK,-,TXDS/OM_CS1,GTIOCTB/AGTO3,,-
41,,K2,121,97,66,,P601,WRWRD,-,RXDS/OM_8102,GTIOCSAJAGTEE3,"-
:unselected:",
42,,L1,122,98,57,CACREFICLKOUT,P600,RD,-,SCKS/OM_SIO4,GTIOCEB/AGTIO3,"-
:unselected:",-
43,,K4,123,99,-,VCC,-,-,-,-,-,-,-
44,,LA,124,100,-,V88,-,-,-,-,-,"-
:unselected:",-
45,,G,125,101,58,-,P107,D7,-,CTS8_RTS8/OM_SI03,GTIOCSAJAGTOAD,-,-
46,,M1,126,102,59,,P105,D6,,SCKB/88LB3_A/OM_SIOO,GTIOCSEVAGTOBO,-,-
47,,L3,127,103,70,-,P105,DS,IROD,TXD8/SSLB2_A/OM_8105,GTETRGA/IGTIOCIAIAGTO2,-,-
48,,M2,128,104,71,-,P104,D4,IRQ1,RXD8/88LB1_A/QI02/OM_DOS,GTETRGB/GTIOC1B/AGTEE2,,-
49,,N1,129,105,72,-,P103,D3,-,CTSO_RT80/SSLBD_A/CTXD/QIO3/OM_SI05,GTOWUPIGTIOCZA/AGTIO2,-,-
