,BGA176,LPQFP176,LPQFP144,LPQFP100,"Power, System, Clook, Debug, CAC",VO porto,Ex. Buc,Ex. Interrupt,"SCVIIC/SPI/CAN/USBFS/USBHSJQSPI/OSPUI 88IE/8 DHU/MMC/EHTERC(MII,RMIIV/CEC",GPT/AGT/RTC,ADC12/DAC12,CTSU
1,ME,130,105,73,-,P102,D2,-,SCKD/RSPCKB_A/CRXD/0100/OM_8101,GTOWLOIGTIOC2B/AGTOO,ADTRIGO,
2,N2,131,107,74,-,P101,D1,IRQ1,TXDO/CTS1_RT81/MOSIB_A/OI01/OM_SI07,GTETRGB/GTIOCSA/AGTEED,-,-
3,P1,132,108,75,-,P100,DO,IRQ2,RXD0/8CK1/MISOB_A/OSPOLKIOM_SCLK,GTETRGA/IGTIOCSBIAGTIOD,-,-
4,NB,133,109,-,-,P800,D14,-,CTSO,AGTOA4,AN125,-
5,R1,134,110,-,,P801,D15,,CTS8,AGTOB4,AN125,-
6,P2,135,-,-,-,P802,-,IRO3,-,-,AN127,-
7,R2,135,-,-,-,P803,-,IRQ2,-,-,AN128,-
8,P3,137,-,-,-,P804,-,IR01,-,-,-,-
9,N,138,111,-,VOC,-,-,-,-,,-,-
10,M4,139,112,-,V88,-,-,-,,-,-,-
11,R3,140,113,76,CACREF,P500,-,-,CTSS/USB_VBUSENIOSPOLK,GTILIAGTOAD,AN116,-
12,PA,141,114,77,-,P501,-,IRQ11,TXD5/USB_OVRCURA/QSSL,GTIMAGTOBD,AN117,
13,R4,142,115,78,-,P502,-,IRQ12,CTS6/RXD5/USB_OVRCURB/0100,GTIWAGTOA2,AN118,
14,NS,143,115,79,-,P503,-,-,CTS6_RT86/8CKS/USB_EXICEN/Q101,GTETROCAGTOBZ,AN119,-
15,PS,144,117,BO,-,P504,ALE,-,SCK6/CTS5_RTS5/USB_ID/0102,GTETRODIAGTOA3,AN120,-
16,PS,145,118,81,-,P505,-,IR014,RXD5/Q103,AGTOB3,AN121,-
17,RS,145,119,-,-,P505,-,IRQ15,TXDE,-,AN122,-
18,NS,147,120,-,-,P507,-,-,SCKB/SCK5,-,AN123,-
19,,148,-,-,-,P508,-,-,CTS_RTS5_B,-,AN124,-
20,M7,149,121,82,VCC,-,,-,-,-,-,-
21,N7,150,122,83,V88,-,-,-,-,-,-,-
22,P7,151,123,84,-,PO15,-,IRQ13,-,,AND13/DA1,-
23,R7,152,124,85,-,PO14,-,-,-,-,AND12/DAD,-
24,PS,153,125,,VREFL,-,-,-,-,-,-,-
25,R8,154,125,87,VREFH,-,-,-,-,-,-,-
26,NB,155,127,BE,AMOCO,-,-,-,-,,-,-
27,,156,128,,AWSSO,-,-,-,-,-,-,-
28,P9,157,129,90,VREFLO,-,,-,-,-,-,-
29,R9,158,130,91,VREFHO,,-,-,-,-,-,
30,MB,159,-,-,-,PO10,-,IRQ14,-,-,AND10,-
31,M9,160,131,-,-,P009,-,IR013-08,-,-,AND09,-
32,P10,161,132,92,-,P008,-,IR012-08,-,-,ANOOB,-
33,ME,162,133,93,,POO7,-,-,-,,AND07,-
34,N10,163,134,94,-,P005,-,IRQ11-08,-,-,ANDOS,-
35,R10,164,135,95,-,P005,-,IRQ10-08,-,-,ANDOS,-
36,P11,165,135,95,,P004,-,IR09-DS,-,-,AND04,-
37,ME,165,137,97,-,P003,-,-,-,-,AND03,
38,R11,167,138,98,,P002,-,IROB-DS,-,-,AND02/AN102,-
39,N11,165,139,99,-,P001,-,IRQ7-DS,-,-,ANCO1/AN101,-
40,R12,169,140,10 0,-,POOD,-,IROS-DS,-,,ANCODIAN100,-
41,M10,170,141,-,V88,-,-,-,-,,-,-
42,M11,171,142,-,VCC,-,-,-,-,-,-,-
43,P12,172,-,-,-,P805,-,IROD,,-,-,-
44,R13,173,-,-,-,P805,-,-,TXD5_B,-,-,-
45,N12,174,-,-,-,P513,-,-,RXD5_B,-,-,-
46,R14,175,143,-,-,P512,-,IRQ14,TXD4/SCL1_A/CTX1,GTIOCOA,-,-
47,P13,175,144,-,-,P511,-,IRQ15,RXD4/8DA1_A/CRX1,GTIOCCB,-,-
