,maikurokontorora Microcontrollers,kodofuratsushiyuraiburari (furatsushiyuserufupuroguraminguraiburari) Code Flash Libraries (Flash Self Programming Libraries),Ver,EEPROMemiyureshiyonraiburari EEPROM emulation Libraries,Ver.,detafuratsushiyuraiburari Data Flash Libraries,Ver,
1,RL78 note1,,V2.20,RL78-Pack01,V1.15,RL78-Type04,V1.05,CA78K0RkonpairaYongserufupuroguraminguraiburari
2,,RL78-Type01,,RL78-Pack02 (kodosaizuSuoXiaoBan Code size shrink version),V1.01,,,SelfProgramming Libraries for the CA78K0R Compiler
3,,RL78-Type01,V2.21,RL78-Pack02,V1.01,RL78-Type04,V1.05,CC-RLkonpairaYongserufupuroguraminguraiburari SelfProgramming Libraries for the CC-RL Compiler
4,78K0,78K0-Type01,V3.10,78K0-Type01,V2.10,,:selected:,78K0/Dx2
5,,78K0-Type01,V3.10,178KO-Type01,V2.10,,,78K0/Fx2
6,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,78K0/Fx2-L
7,,78K0-Type01,V3.10,78KO-Type01,V2.10,,,78K0/Ix2
8,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,"78K0/Kx2 (UPD78F05xxA,78F05xxDA)"
9,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,78K0/Kx2-A
10,,78K0-Type01,V3.10,|78K0-Type01,V2.10,,,78K0/Kx2-C
11,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,78K0/Kx2-L
12,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,78K0/Lx3
13,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,78K0/Lx3-M
14,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,UPD179F1xx
15,,,,,:selected:,,,UPD78F071x
16,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,UPD78F0730
17,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,UPD78F8025
18,,78K0-Type01,V3.10,78K0-Type01,V2.10,,,UPD78F8032
19,78K0R,78KOR-Type03,V1.01,,,,,78K0R/Fx3
20,,78KOR-Type03,"V1.01
:selected:",,:selected:,,,78K0R/Hx3
21,,78KOR-Type02,"V1.20
:selected:",*,:unselected:,,,78K0R/Ix3
22,,78KOR-Type01,V1.20,78K0R-Type01,V1.20,,,78K0R/Kx3
23,,78KOR-Type02,V1.20,*,:unselected:,,,78K0R/Kx3-A
24,,78KOR-Type02,V1.20,*,,,:selected:,78K0R/Kx3-C
25,,78KOR-Type02,V1.20,*,:unselected:,,,78K0R/Kx3-L
26,,78KOR-Type02,V1.20,*,:unselected:,,,78K0R/Kx3-L(USB)
27,,78KOR-Type02,V1.20,**,:unselected:,,,78K0R/Lx3
28,,78KOR-Type02,V1.20,*,:unselected:,,,78K0R/Lx3-M
29,,78KOR-Type02,V1.20,*,:unselected:,,,UPD78F8043
