,PSEL[4:0] settings,Function,Pin,,,,,,,,,,
1,,,P200,P201,P204,P205,P206,P207,P208,P212,P213,P214,P215
2,00000b,(initial),"-
:unselected: :unselected:",,,,,,,,,,
3,00001b,AGT,"-
:unselected: :unselected:","-
:unselected: :unselected:","1
:selected:",:selected:,:unselected: :unselected:,"-
:unselected:","1
:selected:",:selected:,:unselected: :unselected:,"-
:unselected:
:unselected:","-
:unselected:
:unselected:"
4,00010b,GPT,"-
:unselected: :unselected:","-
:unselected: :unselected:",:selected:,"1
:selected:",:selected:,"-
:unselected: :unselected:","-
:unselected: :unselected:",:selected:,"1
:selected:","-
:unselected: :unselected:",:unselected: :unselected:
5,00011b,GPT,"-
:unselected: :unselected:","-
:unselected: :unselected:",:unselected:,:unselected: :unselected:,:unselected: :unselected:,"-
:unselected:
:unselected:",":unselected:
:unselected:",:selected:,:selected:,"-
:unselected: :unselected:","-
:unselected: :unselected:"
6,00100b,SCI,:unselected:,:unselected: :unselected:,:selected:,"1
:selected:",:selected:,:unselected:,:unselected: :unselected:,:unselected: :unselected:,:unselected:,"-
:unselected: :unselected:","-
:unselected: :unselected:"
7,00101b,SCI,:unselected:,:unselected:,:selected:,:unselected:,:unselected: :unselected:,:unselected:,:unselected:,:selected:,:selected:,:unselected:,:unselected:
8,00110b,SPI,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:
9,00111b,IIC,:unselected: :unselected:,:unselected:,:selected:,:unselected: :unselected:,:unselected: :unselected:,:unselected:,:unselected: :unselected:,:unselected:,:unselected:,:unselected: :unselected:,"-
:unselected: :unselected:"
10,01001b,CLKOUT/ ACMPLP/R TC,:unselected: :unselected:,"-
:unselected:",:unselected: :unselected:,"-
:unselected: :unselected:",:unselected:,:unselected:,:unselected: :unselected:,:unselected: :unselected:,:unselected: :unselected:,"-
:unselected: :unselected:","-
:unselected:"
11,01010b,CAC/ADC12,"-
:unselected: :unselected:","-
:unselected: :unselected:","1
:selected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:","-
:unselected:","-
:unselected: :unselected:","-
:unselected: :unselected:"
