,PSEL[4:0] settings,Function,Pin,,,,,,,,
1,,,P400,P401,P402,P403,P407,P408,P409,P410,P411
2,00000b,(initial),:unselected: :unselected:,,,,,,,,
3,00001b,AGT,"1
:selected:",:unselected: :unselected:,"1
:selected:","1
:selected:","1
:selected:","-
:unselected: :unselected:","-
:unselected: :unselected:","1
:selected:","1
:selected:"
4,00010b,GPT,:unselected: :unselected:,"1
:selected:","-
:unselected:","-
:unselected:",:unselected:,"1
:selected:","1
:selected:","1
:selected:","1
:selected:"
5,00011b,GPT,:selected:,"1
:selected:","-
:unselected:","-
:unselected: :unselected:",":unselected:
:unselected:","-
:unselected:
:unselected:","-
:unselected:
:unselected:",:unselected:,:unselected:
6,00100b,SCI,"1
:selected:",:unselected:,"-
:unselected:","-
:unselected:","-
:unselected: :unselected:","-
:unselected:","-
:unselected: :unselected:","1
:selected:",:selected:
7,00101b,SCI,:selected:,"1
:selected:","1
:selected:",:unselected:,,:unselected:,:unselected:,:unselected: :unselected:,:unselected:
8,00110b,SP,:unselected: :unselected:,:unselected: :unselected:,:unselected: :unselected:,:unselected:,:unselected:,:unselected: :unselected:,:unselected: :unselected:,"1
:selected:","1
:selected:"
9,00111b,IIC,:selected:,"1
:selected:","-
:unselected:",:unselected:,:selected:,"1
:selected:",:unselected:,:unselected:,:unselected:
10,01001b,CLKOUT/ ACMPLP/RTC,:unselected:,:unselected: :unselected:,:unselected:,:unselected:,:selected:,:unselected:,:unselected:,:unselected:,"-
:unselected:"
