,Product P/N,Package,:unselected:,Product P/N,Package,:unselected:,Product P/N,Package
1,R7FA2E2A74CNK#AA1,24pin QFN,:unselected:,R7FA2E2A73CNK#AA1,24pin QFN,,R7FA2E2A72DNK#AA1,24pin QFN
2,R7FA2E2A74CNK#BA1,24pin QFN,:unselected:,R7FA2E2A73CNK#BA1,24pin QFN,:unselected:,R7FA2E2A72DNK#BA1,24pin QFN
3,R7FA2E2A74CNK#HA1,24pin QFN,:unselected:,R7FA2E2A73CNK#HA1,24pin QFN,,R7FA2E2A72DNK#HA1,24pin QFN
4,R7FA2E2A54CNK#AA1,24pin QFN,,R7FA2E2A53CNK#AA1,24pin QFN,,R7FA2E2A52DNK#AA1,24pin QFN
5,R7FA2E2A54CNK#BA1,24pin QFN,,R7FA2E2A53CNK#BA1,24pin QFN,,R7FA2E2A52DNK#BA1,24pin QFN
6,R7FA2E2A54CNK#HA1,24pin QFN,,R7FA2E2A53CNK#HA1,24pin QFN,,R7FA2E2A52DNK#HA1,24pin QFN
7,R7FA2E2A34CNK#AA1,24pin QFN,,R7FA2E2A33CNK#AA1,24pin QFN,,R7FA2E2A32DNK#AA1,24pin QFN
8,R7FA2E2A34CNK#BA1,24pin QFN,,R7FA2E2A33CNK#BA1,24pin QFN,,R7FA2E2A32DNK#BA1,24pin QFN
9,R7FA2E2A34CNK#HA1,24pin QFN,,R7FA2E2A33CNK#HA1,24pin QFN,,R7FA2E2A32DNK#HA1,24pin QFN
10,R7FA2E2A74CNJ#AA1,20pin QFN,,R7FA2E2A73CNJ#AA1,20pin QFN,,R7FA2E2A72DNJ#AA1,20pin QFN
11,R7FA2E2A74CNJ#BA1,20pin QFN,,R7FA2E2A73CNJ#BA1,20pin QFN,,R7FA2E2A72DNJ#BA1,20pin QFN
12,R7FA2E2A74CNJ#HA1,20pin QFN,,R7FA2E2A73CNJ#HA1,20pin QFN,,R7FA2E2A72DNJ#HA1,20pin QFN
13,R7FA2E2A54CNJ#AA1,20pin QFN,,R7FA2E2A53CNJ#AA1,20pin QFN,,R7FA2E2A52DNJ#AA1,20pin QFN
14,R7FA2E2A54CNJ#BA1,20pin QFN,,R7FA2E2A53CNJ#BA1,20pin QFN,,R7FA2E2A52DNJ#BA1,20pin QFN
15,R7FA2E2A54CNJ#HA1,20pin QFN,,R7FA2E2A53CNJ#HA1,20pin QFN,,R7FA2E2A52DNJ#HA1,20pin QFN
16,R7FA2E2A34CNJ#AA1,20pin QFN,,R7FA2E2A33CNJ#AA1,20pin QFN,,R7FA2E2A32DNJ#AA1,20pin QFN
17,R7FA2E2A34CNJ#BA1,20pin QFN,,R7FA2E2A33CNJ#BA1,20pin QFN,,R7FA2E2A32DNJ#BA1,20pin QFN
18,R7FA2E2A34CNJ#HA1,20pin QFN,,R7FA2E2A33CNJ#HA1,20pin QFN,,R7FA2E2A32DNJ#HA1,20pin QFN
19,R7FA2E2A72DNK#HA9,24pin QFN,,,,,,
